YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,EXMT_INTRST_IND,EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,OTHR_RCPTS_IND,OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_IND,S_NET_INCM,S_NET_INCM_POS_IND,S_NET_INCM_POS,S_NET_INCM_NEG_IND,S_NET_INCM_NEG,NET_INCM_IND,NET_INCM,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,PORTFOLIO_IND,PORTFOLIO,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,BUILT_GN_TX_IND,BUILT_GN_TX,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2005,3,1,2,0,506583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63041660,0,59970569,0,31714,0,1621968,0,1417410,0,58624834,0,25260531,0,4340097,0,7137322,0,797453,0,201460,0,2788816,0,1913426,0,1014605,0,112836,0,1087798,0,11247,0,701126,0,314461,0,421908,0,115405,0,12406343,0,4416826,0,22550331,0,27408404,0,4858074,0,4385112,0,9520375,0,5135263,0,18318093,0,61928,0,281454,0,35237,0,11180,0,17928294,0,-181339,0,104333,0,285672,0,28465,0,43640,0,15175,0,130780,0,128488,1,1063
2005,3,1,1,0,3684086,0,2736981803,0,294920709,0,639360891,0,9085092,0,386285723,0,52277991,0,20930607,0,182574093,0,49536428,0,68876939,0,301873383,0,1215978542,0,698236429,0,12016718,0,4261277,0,101057179,0,95106206,0,30457766,0,58226956,0,2736981803,0,336960221,0,310816197,0,468607116,0,217002048,0,546497451,0,91609026,0,765489743,0,76208076,0,267163708,0,461630052,0,39512093,0,5252513618,0,5147016759,0,1792664,0,11998752,0,91705442,0,4967817445,0,3225118818,0,191364155,0,538884702,0,31876280,0,9013033,0,128791090,0,105122787,0,50527490,0,6795752,0,66795074,0,610901,0,47567044,0,20934802,0,47211437,0,1007114,0,496196965,0,284696173,0,361042566,0,421345214,0,60302648,0,282903509,0,348078943,0,65175434,0,69556160,0,4892559,0,12860347,0,1085352,0,2064545,0,48653357,0,7299983,0,10839434,0,3539451,0,1282914,0,1958139,0,675225,0,611452,0,554722,0,21908
2005,3,11,12,0,27,0,6032793,0,497686,0,800019,0,4015,0,394157,0,11490,0,141487,0,621809,0,253583,0,6865,0,781457,0,2446548,0,1379307,0,594907,0,7317,0,360075,0,123521,0,18920,0,408746,0,6032793,0,369785,0,509651,0,352987,0,125471,0,1335854,0,297330,0,3041716,0,36185,0,489424,0,2530043,0,13936,0,5987906,0,5745331,0,16585,0,15777,0,210213,0,5698650,0,4271154,0,31365,0,410682,0,57553,0,1522,0,79992,0,81266,0,64590,0,12061,0,119707,0,10355,0,36842,0,6057,0,127458,0,4,0,388040,0,289257,0,321350,0,385336,0,63986,0,272672,0,351812,0,79140,0,48808,0,4120,0,32710,0,164,0,-1509,0,13322,0,-323,0,2959,0,3282,0,194,0,194,0,0,0,9816,0,9816,0,0
2005,3,11,11,0,50,0,3379925,0,260114,0,386472,0,1875,0,484461,0,24938,0,0,0,150962,0,21152,0,68749,0,501930,0,1997365,0,1075037,0,61315,0,40,0,361383,0,21544,0,2567,0,119059,0,3379925,0,386063,0,515033,0,185284,0,267278,0,721456,0,82151,0,1222661,0,52029,0,607210,0,592503,0,29081,0,4911277,0,4826846,0,1223,0,16358,0,66850,0,4817002,0,3001681,0,34517,0,347903,0,53972,0,1246,0,58085,0,55321,0,54803,0,6196,0,118449,0,6934,0,6882,0,5609,0,33328,0,61,0,1032015,0,94275,0,162617,0,228863,0,66246,0,93052,0,174265,0,81213,0,55970,0,1211,0,33336,0,88,0,439,0,20896,0,13505,0,14035,0,530,0,90,0,96,0,7,0,143,0,143,0,0
2005,3,11,10,0,103,0,3676445,0,246162,0,514650,0,3158,0,428380,0,3737,0,8827,0,164047,0,83428,0,124181,0,461504,0,2219641,0,1305517,0,204804,0,26984,0,477792,0,33224,0,13431,0,55161,0,3676445,0,181089,0,654828,0,187211,0,170446,0,683811,0,120746,0,1678312,0,110867,0,508035,0,1150790,0,91380,0,3674916,0,3522166,0,2303,0,8329,0,142119,0,3559223,0,2359882,0,33603,0,188745,0,34418,0,2220,0,64258,0,56363,0,63736,0,22486,0,108455,0,2611,0,5640,0,9176,0,17665,0,165,0,589799,0,115693,0,204716,0,278977,0,74262,0,113391,0,214746,0,101356,0,70140,0,6664,0,27377,0,2115,0,955,0,33030,0,19155,0,19245,0,90,0,2030,0,2065,0,35,0,499,0,499,0,0
2005,3,11,9,0,394,0,6097584,0,443845,0,666395,0,2061,0,947110,1,21526,1,70811,0,445241,0,75140,0,45305,0,868279,0,3718458,0,2244194,1,76778,1,915,0,806105,0,46334,0,10968,0,124394,0,6097584,0,432990,0,943592,0,291902,0,542004,0,1178969,0,152146,0,2555980,0,117485,0,1321254,0,1229181,0,111940,0,7746719,0,7343155,0,3946,0,49985,0,349633,0,7554220,0,4337857,0,87331,0,531116,0,83384,0,10790,0,177197,0,115069,0,116287,0,3361,0,198102,1,2365,0,17054,0,17124,0,50228,1,5325,0,1801630,0,192499,0,347057,0,519784,0,172727,0,188553,0,407861,0,219308,0,129443,0,6565,0,39107,0,7463,0,7135,0,69173,0,21474,0,22558,0,1085,0,7588,0,7905,1,317,0,3032,0,3032,0,0
2005,3,11,8,0,763,0,5378627,0,452626,0,180304,1,2,0,671310,0,0,0,0,0,209144,1,98727,1,75637,0,554799,0,3648323,0,2041711,1,29817,1,5630,0,1170865,0,15655,0,5020,0,323785,0,5378627,0,70433,0,1090145,0,176122,0,590564,0,1979349,0,176286,0,1295727,0,262092,0,1388201,0,-228145,1,126420,0,5105855,0,4814665,1,159,0,43533,0,247497,0,5143888,0,2018381,0,135761,0,627395,0,97061,1,875,0,316873,0,115799,0,147580,0,2567,0,246572,0,0,0,36218,0,52397,0,69156,1,8,0,1277244,0,-38033,0,232646,0,463023,0,230377,0,-38192,0,250229,0,288421,0,198084,0,2381,0,18706,1,3383,1,1957,1,171657,0,72148,0,72148,0,0,1,605,1,605,0,0,0,0,0,0,0,0
2005,3,11,7,0,8700,0,16997355,0,1555440,0,1203003,1,3448,0,1124277,1,5045,1,200278,0,918508,0,853700,1,215922,0,1078378,0,16601638,0,11172622,1,198777,1,64606,0,3943532,0,255408,0,116502,0,200628,0,16997355,0,351346,0,1998604,0,752256,0,4049077,0,4753293,0,123879,0,4968901,0,1883261,0,6703588,0,-3436868,0,181080,0,17638018,0,16115336,1,8142,0,255137,0,1259403,0,17280617,0,7128342,0,309450,0,1641680,0,614289,0,15891,0,789732,0,436457,0,365056,0,17438,0,961114,1,2740,0,45357,0,31597,0,121568,1,1504,0,4798403,0,357401,0,682702,0,1717014,0,1034312,0,349259,0,1436022,0,1086762,0,267984,0,8106,0,95496,1,84867,1,6190,0,73325,0,48984,0,51854,1,2870,1,16474,1,16566,0,92,0,0,0,0,0,0
2005,3,11,6,0,8023,0,5568899,0,596332,0,320868,0,0,0,290046,0,0,0,0,0,190931,0,184970,1,8347,0,290554,0,6738257,0,4640346,1,29602,0,0,0,1440543,0,44833,0,25047,0,99008,0,5568899,0,221792,0,630292,0,154495,0,655734,0,2130502,1,40717,0,1735367,0,923736,0,2181290,0,-1281552,1,88107,0,6638066,0,6234770,0,0,0,64333,0,338963,0,6469240,0,2348162,0,389140,0,529166,0,214951,1,8541,0,145849,0,154264,0,169063,1,2742,0,475945,0,0,0,14774,1,41686,0,24069,1,17193,0,1933696,0,168826,0,530076,0,760412,0,230335,0,168826,0,501100,0,332274,0,319739,1,1072,0,8878,0,0,1,183122,1,126667,1,32202,1,32202,0,0,1,9309,1,9309,0,0,0,0,0,0,0,0
2005,3,11,5,0,9641,0,3371847,0,540923,1,38620,0,0,1,215708,0,0,0,0,0,82168,1,260988,1,8685,0,329302,0,5039860,0,3882817,0,32,0,0,0,559703,1,67579,1,1096,0,112192,0,3371847,1,10814,0,269021,0,12299,0,480268,0,1317370,1,10914,0,1271160,0,667848,0,995991,0,-290805,1,101875,0,4524758,0,4019380,0,0,0,30893,0,474485,0,4137791,0,1483630,0,101511,0,383432,0,240958,0,0,0,368807,0,105387,0,80885,1,114,0,215412,1,575,0,12195,1,516,1,7993,0,0,0,1136376,0,386967,0,416121,0,561744,0,145623,0,386967,0,545912,0,158945,0,27228,1,1364,0,5337,1,909,0,0,1,19618,1,1926,1,3314,1,1388,0,0,0,0,0,0,0,0,0,0,0,0
