YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_IND,S_NET_INCM,S_NET_INCM_POS_IND,S_NET_INCM_POS,S_NET_INCM_NEG_IND,S_NET_INCM_NEG,a.net_incm_IND,a.net_incm,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,S_PORT_INCM_IND,S_PORT_INCM,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,a.comp_tx_bfr_crs_IND,a.comp_tx_bfr_crs,a.incm_tx_IND,a.incm_tx,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2012,3,1,12,0,3737,0,1385724577,0,159786790,0,412925885,0,8107508,0,89181271,0,59411747,0,30383496,0,59796803,0,5397780,0,60435004,0,263804572,0,317924067,0,164903181,0,13573590,0,4775226,0,23543496,0,46054025,0,10022423,0,31314388,0,1385724577,0,207285898,0,68183562,0,449310722,0,10047249,0,166556805,0,80261581,0,404078760,0,9786554,0,81316322,0,332466205,0,19490321,0,1092203847,0,1044767653,0,1174074,0,6671327,0,39590794,0,1028345895,0,755181946,0,9875142,0,92993202,0,5200819,0,4011845,0,14012206,0,15212225,0,12340319,0,3401213,0,18876583,0,374990,0,8434384,0,4846103,0,11690625,0,600464,0,71293830,0,63857952,0,89299720,0,94110682,0,4810962,0,62683878,0,71181320,0,8497441,0,25033437,0,9007930,0,3547794,0,850810,0,654161,0,10972742,0,995155,0,1358253,0,363098,0,587249,0,713867,0,126618,0,61671,0,50428,0,9954
2012,3,1,11,0,3872,0,269331592,0,29075102,0,69593406,0,1436179,0,38985265,0,4954069,0,3504065,0,17171783,0,2690780,0,4581229,0,37498520,0,99893155,0,57809695,0,1423214,0,605364,0,7038685,0,8659677,0,2320246,0,6434125,0,269331592,0,33487701,0,25663628,0,48939643,0,7996938,0,38874482,0,9259433,0,105109766,0,2755404,0,27550831,0,79607564,0,4804034,0,422510589,0,414049713,0,157652,0,1025256,0,7277968,0,403600573,0,311852417,0,4812612,0,30007166,0,1667966,0,747496,0,5727912,0,5998367,0,2462784,0,618447,0,6147505,0,82254,0,2586305,0,1217700,0,4131234,0,134916,0,25405492,0,18910016,0,24381761,0,26525458,0,2143697,0,18752365,0,21335934,0,2583569,0,5120119,0,1150089,0,759658,0,116178,0,73078,0,3021116,0,410951,0,543503,0,132552,0,98327,0,147337,0,49010,0,16033,0,11893,0,3730
2012,3,1,10,0,7765,0,267505715,0,30867678,0,61582900,0,1324932,0,49851689,0,1257982,0,1286056,0,17553529,0,3358428,0,3122847,0,32053735,0,114094210,0,67400152,0,1093651,0,523159,0,8623618,0,8255560,0,2788038,0,6540114,0,267505715,0,34393979,0,34688907,0,29324373,0,10109475,0,43184868,0,8559439,0,107244675,0,4452528,0,28900809,0,78248175,0,4356838,0,506066096,0,496511439,0,94223,0,1128251,0,8332184,0,482959066,0,368198079,0,7070482,0,41110430,0,2061013,0,797951,0,7367816,0,7221216,0,2725787,0,562419,0,6852013,0,65625,0,3705588,0,1398957,0,4548078,0,143717,0,29129894,0,23107030,0,30486613,0,33116457,0,2629844,0,23012807,0,26167866,0,3155059,0,6897239,0,845694,0,690233,0,219685,0,39678,0,5101948,0,510942,0,668505,0,157563,0,65625,0,100641,0,35016,0,15323,0,11116,0,4066
2012,3,1,9,0,25739,0,391471747,0,48874398,0,84151525,0,1414888,0,81101667,0,258920,0,927445,0,24284094,0,6465434,0,2893936,0,38720046,0,178586056,0,108659037,0,1064715,0,436057,0,15365305,0,13850251,0,4614066,0,10052005,0,391471747,0,49465727,0,57164334,0,33427141,0,20692395,0,66933877,0,12010835,0,151777440,0,9781820,0,44452971,0,105740151,0,8197502,0,848476761,0,833800911,0,113223,0,1572263,0,12990364,0,811822884,0,623285006,0,13964591,0,66286050,0,3392411,0,1279651,0,14237408,0,13025519,0,4043989,0,925157,0,9563543,0,92791,0,5915970,0,2105570,0,7963957,0,82839,0,45658434,0,36653876,0,46596001,0,51393117,0,4797117,0,36540653,0,41944820,0,5404166,0,9076344,0,1323803,0,941222,0,376350,0,109990,0,6324980,0,821738,0,1172452,0,350714,0,157265,0,235306,0,78042,0,45572,0,40499,0,5006
2012,3,1,8,0,41126,0,290460705,0,38784280,0,61941228,0,768320,0,54922664,0,142314,1,472246,0,20812538,0,5883326,0,2338986,0,24925508,0,148472550,0,92142040,0,607196,0,403525,0,13922027,0,8372069,0,3077885,0,5255543,0,290460705,0,37104988,0,36000063,0,25065216,0,21016430,0,57882411,0,10567654,0,102823942,0,8723432,0,30214065,0,71095362,0,7208917,0,611821942,0,602520863,0,27222,0,1052265,0,8221591,0,582914150,0,421297360,0,13865491,0,55983550,0,3158400,0,1026598,0,12555344,0,10536721,0,3504878,0,589601,0,6886379,1,6633,0,3890441,0,1883565,0,6254383,0,78467,0,41396339,0,28907792,0,36133995,0,41078888,0,4944893,0,28880570,0,34291076,0,5410507,0,6241912,0,362381,0,650306,0,125504,0,152790,0,4950930,0,995549,0,1277025,0,281476,0,15965,0,28764,0,12800,0,29069,0,28617,1,392
2012,3,1,7,0,258070,0,544746351,0,84220518,0,91936001,0,1365006,0,74964726,1,95842,0,591384,0,35324512,0,15702281,0,4770490,0,43243803,0,340974485,0,211024723,0,975238,0,417319,0,38459533,0,27160852,0,12904055,0,12037787,0,544746351,0,61459659,0,41472865,0,41925275,0,66443445,0,136758353,0,18595332,0,178091421,0,22868465,0,79589601,0,88112226,0,12478872,0,1175781628,0,1157018457,0,189934,0,1966118,0,16607119,0,1109498806,0,709412010,0,41225080,0,133674302,0,8360875,0,2037609,0,29833870,0,26566429,0,7214091,0,1482694,0,13082390,0,101215,0,9503184,0,3823513,0,10308467,0,272799,0,112600278,0,66282822,0,80679273,0,93488871,0,12809599,0,66092888,0,79323433,0,13230545,0,11619799,0,369727,0,1395644,0,588662,0,219127,0,9046639,0,2795545,0,4086879,0,1291334,0,171040,0,271166,0,100125,0,83191,0,82809,1,383
2012,3,1,6,0,244965,0,171784010,0,31280370,0,20336858,0,240968,0,18556507,1,1270,1,52898,0,10684016,0,7782411,0,1197953,0,9753185,0,143564187,0,97752315,0,451589,0,241844,0,14511772,0,14864097,0,6525023,0,3507048,0,171784010,0,16088111,0,12162381,0,12762045,0,30783980,0,51460488,0,3450564,0,45076440,0,8403396,0,33201304,0,8656771,0,5185031,0,445171865,0,437063234,0,8030,0,788467,0,7312133,0,417712203,0,231672431,0,24775345,0,55529630,0,3695372,0,605873,0,14610019,0,11019677,0,3009129,0,890723,0,5831899,1,12528,0,3536925,0,2061763,0,3892783,0,35620,0,56532487,0,27459661,0,31461311,0,37583799,0,6122488,0,27451632,0,33434777,0,5983146,0,2568799,0,120422,0,271454,0,22878,0,-2860,0,2156905,0,1324379,0,1718655,0,394276,0,116501,0,181303,1,64801,1,12313,1,11398,1,914
2012,3,1,5,0,364237,0,127743367,0,28752246,0,10983876,0,101445,0,14259867,0,0,1,15749,0,7324678,0,7982779,0,579309,0,6178167,0,122178728,0,85880967,1,221621,1,67122,0,6623133,0,12022961,0,5841105,0,2510893,0,127743367,0,10009457,0,8981408,0,10892142,0,29089683,0,33103139,0,2197131,0,33470407,0,10810832,0,30860632,0,-4728322,0,3472735,0,415463012,0,408471969,0,10664,0,451067,0,6529312,0,387016242,0,186287116,0,27177707,0,60711879,0,3722610,0,407149,0,17429712,0,11247179,0,2449564,0,754569,0,4677038,1,41953,0,4224355,0,2136808,0,3191372,0,15222,0,62542009,0,28446770,0,30707472,0,36286679,0,5579207,0,28436106,0,34145815,0,5709709,0,1172106,0,107667,0,318854,0,85511,0,28860,0,631213,0,1067901,0,1291549,0,223647,0,31359,1,33712,1,2353,1,5838,1,4957,1,881
2012,3,1,4,0,585588,0,92232893,0,26880786,0,6943164,0,41847,0,9886486,0,0,1,33339,0,4816525,0,6297925,1,69810,0,3478200,0,99924090,0,76155634,1,41188,1,30182,0,2529201,0,12698337,0,6947398,0,1808904,0,92232893,0,7106777,0,7087683,0,10807490,0,25701225,0,19613796,0,2265715,0,19650207,0,8247200,0,23202422,0,-10382381,0,1417035,0,417694208,0,409518047,1,6104,0,495464,0,7674593,0,386500149,0,165288313,0,36889366,0,61427428,0,3535246,0,467821,0,21055674,0,12965564,0,1996974,0,757843,0,4601197,1,17263,0,4130001,0,2459938,0,3871146,0,18663,0,67017713,0,31194060,0,32589590,0,38312543,0,5722953,0,31187956,0,36837393,0,5649438,0,770814,0,139767,0,121564,1,4792,0,58046,0,446645,0,518249,0,759832,0,241584,0,112571,1,122729,1,10157,1,9390,1,9385,1,6
2012,3,1,3,0,1922697,0,52277280,0,20199922,0,2957446,0,19216,0,3993029,1,174,1,1161,0,2213004,0,3944842,0,106251,0,1323677,0,101266837,0,87128175,0,83524,1,17135,0,604965,0,6714662,0,4663232,0,695543,0,52277280,0,5915153,0,5925293,0,9649092,0,44213396,0,12269885,0,2848756,0,-28544295,0,8667120,0,31959557,0,-66843163,0,2327809,0,523979924,0,516249215,0,3596,0,814334,0,6912779,0,477534688,0,160262146,0,59947233,0,77114882,0,4779335,0,385934,0,24845972,0,15919892,0,2083315,0,366182,0,4511806,1,1400,0,5205738,0,3817479,0,4559318,0,80169,0,113653886,0,46445236,0,49504322,0,60873012,0,11368690,0,46441639,0,57750218,0,11308578,0,2243228,0,14983,0,72989,0,219546,0,987,0,1934722,0,769789,0,1016902,0,247112,0,49665,0,54474,1,4809,0,0,0,0,0,0
