YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,EXMT_INTRST_IND,EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,OTHR_RCPTS_IND,OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_IND,S_NET_INCM,S_NET_INCM_POS_IND,S_NET_INCM_POS,S_NET_INCM_NEG_IND,S_NET_INCM_NEG,NET_INCM_IND,NET_INCM,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,S_PORT_INCM_IND,S_PORT_INCM,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,BUILT_GN_TX_IND,BUILT_GN_TX,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2006,3,1,2,0,687549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103493676,0,99691375,0,27643,0,1857074,0,1917584,0,97598032,0,44425963,0,7148291,0,11118637,0,1104089,0,257842,0,4466245,0,2822161,0,1367680,0,125410,0,1434433,1,6890,0,1174350,0,476643,0,707537,0,361325,0,20600536,0,5895644,0,23057332,0,31150023,0,8092691,0,5868000,0,14193097,0,8325096,0,17363294,0,271857,0,575654,0,9257,0,36044,0,16470481,0,-312939,0,120743,0,433683,0,138977,0,152906,1,13929,0,176683,0,176049,1,634
2006,3,1,1,0,3872766,0,3048770219,0,326696520,0,719297364,0,10169020,0,426401226,0,52929790,0,22692832,0,208937184,0,54678831,0,64550717,0,347780222,0,1317386490,0,744603736,0,18290929,0,6362598,0,111098695,0,107086470,0,34527005,0,66605308,0,3048770219,0,374762340,0,341079211,0,529453392,0,230145905,0,599683823,0,110678910,0,862966638,0,79149187,0,279053612,0,549280983,0,44517144,0,5815389092,0,5699803000,0,1933344,0,13581482,0,100071267,0,5517526275,0,3577640841,0,212457485,0,588888215,0,35510962,0,10106964,0,142905107,0,113370213,0,66607001,0,7209727,0,76305065,0,741652,0,51460851,0,23151253,0,51263762,0,1314476,0,558592701,0,297862818,0,386202310,0,457000711,0,70798401,0,295929473,0,373091660,0,77162186,0,82029220,0,6471731,0,18483014,0,1360338,0,1508376,0,54205761,0,6832640,0,10945766,0,4113126,0,1410976,0,2035597,0,624621,0,639429,0,583670,0,45607
2006,3,11,12,0,34,0,7546875,0,460242,0,999816,0,7489,0,898206,0,429,0,136596,0,705976,0,237768,0,29626,0,1134425,0,3597058,0,2056464,0,595595,0,7435,0,463044,0,79530,0,18739,0,298690,0,7546875,0,452822,0,836778,0,320469,0,171377,0,1543760,0,315353,0,3906315,0,150758,0,463513,0,3314806,0,22761,0,8259742,0,8001883,0,24373,0,14838,0,218648,0,8033592,0,5115625,0,29997,0,604910,0,83171,0,4466,0,91824,0,110987,0,111594,0,24743,0,179791,0,10111,0,39024,0,8809,0,155003,0,24,0,1463514,0,226150,0,344666,0,426475,0,81809,0,201776,0,349710,0,147934,0,136766,0,17614,0,81427,0,238,0,2090,0,35396,0,5922,0,11296,0,5374,0,202,0,202,0,0,0,1358,0,1358,0,0
2006,3,11,11,0,65,0,4463617,0,302288,0,628465,0,3170,0,708135,0,33125,0,0,0,255074,0,60057,0,44245,0,716426,0,2189152,0,1169670,0,73061,0,0,0,490919,0,57505,0,2505,0,80510,0,4463617,0,421077,0,789324,0,148539,0,249818,0,929336,0,196096,0,1729427,0,69732,0,720828,0,1010911,0,72044,0,5069696,0,4940498,0,28,0,11321,0,117848,0,5017531,0,3826339,0,47424,0,219351,0,44060,0,13014,0,72839,0,52538,0,94462,0,1704,0,119843,0,223,0,5587,0,10233,0,30306,0,306,0,479302,0,52165,0,130064,0,225604,0,95541,0,52137,0,172970,0,120834,0,69439,0,8255,0,44585,0,3,0,4979,0,11617,0,7591,0,8885,0,1295,0,897,0,946,0,49,0,299,0,299,0,0
2006,3,11,10,0,123,0,4291842,0,353886,0,540967,1,1788,0,637536,0,0,1,25701,0,230256,0,90146,1,44200,0,534136,0,2470982,0,1435559,1,219219,1,47122,0,500772,0,44557,0,24385,0,108337,0,4291842,0,306572,0,673497,0,271931,0,327784,0,848548,0,16231,0,1847278,0,161204,0,304866,0,1437573,1,56364,0,3385854,0,3256648,1,2431,0,20112,0,106663,0,3334100,0,2340230,0,37325,0,157735,0,28971,0,3192,0,89224,0,64397,0,95023,0,6383,0,118325,1,359,0,5254,0,5869,0,19857,0,0,0,361956,0,51754,0,135855,0,225987,0,90132,0,49323,0,166030,0,116706,0,51571,0,2883,0,28107,1,6063,1,1275,0,13242,0,34295,0,34324,1,29,1,666,1,719,1,53,1,276,1,276,0,0
2006,3,11,9,0,501,0,7679885,0,606883,0,648261,0,3806,0,1540495,1,56204,1,132356,0,499068,0,197259,1,126182,0,600203,0,4134794,0,2421531,1,115556,1,2182,0,1057783,0,120953,0,27905,0,299314,0,7679885,0,353978,0,1510732,0,485944,0,899743,0,1813947,0,191254,0,2424287,0,188435,0,1679607,0,749484,0,193239,0,8220379,0,8102205,0,8061,0,24946,0,85167,0,8133712,0,5347831,0,112824,0,445741,0,106729,0,2603,0,202112,0,109886,0,199889,0,15855,0,253080,1,11505,0,15318,0,19324,0,57836,0,6616,0,1226565,0,86667,0,311801,0,551191,0,239390,0,78606,0,370722,0,292116,0,182767,0,10267,0,71126,1,2895,0,-69,0,98548,0,39809,0,40013,1,204,1,10619,1,10619,0,0,1,674,1,674,0,0
2006,3,11,8,0,790,0,5516095,0,524571,0,333708,1,151,0,535129,0,0,0,0,0,210158,1,51694,0,0,0,564365,0,4385149,0,2244158,1,10839,1,659,0,1023964,0,12914,0,4301,0,112872,0,5516095,0,161260,0,997419,0,139053,0,675925,0,1668073,0,65067,0,1809296,0,365239,0,1999400,0,-377410,1,177932,0,6245210,0,5864027,1,300,0,21787,0,359096,0,6336497,0,3020870,0,94981,0,637867,0,98786,1,324,0,125435,0,92691,0,163340,0,10095,0,332019,1,112,0,52431,0,20475,0,35889,1,494,0,1650688,0,-91287,0,-9750,0,382764,0,392514,0,-91587,0,325772,0,417359,0,76562,0,4573,0,39562,1,3208,1,784,0,28436,0,4544,1,4591,1,47,1,731,1,824,0,93,0,158,0,158,0,0
2006,3,11,7,0,8676,0,15918426,0,1664291,0,417427,1,3526,0,1080469,1,410,1,201554,0,427592,0,639054,1,189786,0,1202569,0,15505909,0,10076992,1,170634,1,89997,0,4030400,0,188334,0,112970,0,483485,0,15918426,0,251050,0,1733772,0,539636,0,4509418,0,4833244,0,360460,0,3690846,0,1558961,0,5852833,0,-3513114,0,207835,0,14247286,0,12922739,1,5422,0,88340,0,1230784,0,14186761,0,4967422,0,265909,0,1492593,0,529422,1,1432,0,680638,0,401504,0,392032,0,15541,0,887747,0,0,0,30722,0,29818,0,144899,1,937,0,4346146,0,60525,0,783334,0,1640031,0,856696,0,55103,0,998461,0,943357,0,678376,0,17363,0,84555,1,104371,1,-1552,0,473639,0,22779,0,26707,1,3928,1,27076,1,29713,1,2637,0,11795,0,11795,0,0
2006,3,11,6,0,9479,0,6751392,0,822605,0,371406,0,0,0,493686,0,0,0,0,0,284636,0,280191,1,8444,0,186945,0,8838817,0,6451432,1,29949,0,0,0,1684309,0,89392,0,34247,0,146692,0,6751392,0,249226,0,961337,0,176809,0,842712,0,2219474,0,194176,0,2107658,0,941436,0,2654475,0,-1374646,1,113606,0,10049033,0,9435961,1,2309,0,75549,0,535215,0,9939949,0,3718785,0,400042,0,874118,0,315326,1,2193,0,355864,0,218828,0,252146,1,5462,0,501402,0,0,0,29410,1,38619,0,73633,0,0,0,3154121,0,109084,0,228325,0,686937,0,458612,0,106775,0,623858,0,517083,0,71513,1,5428,0,62773,1,319,1,-44,1,3037,1,39494,1,39494,0,0,1,10542,1,10542,0,0,0,0,0,0,0,0
2006,3,11,5,0,9834,0,3676617,0,516316,1,221652,0,0,1,177991,0,0,1,518,0,25091,0,336951,1,24516,0,381467,0,4711079,0,3485001,0,0,0,0,0,602118,1,65690,1,1615,0,99843,0,3676617,1,76283,0,269301,0,18576,0,1034570,0,1471383,1,22383,0,784121,0,732473,0,1322422,0,-1108240,1,162535,0,6151322,0,5769768,1,40,0,38931,0,342583,0,5843250,0,2380442,0,171596,0,528786,0,176775,1,1693,0,476609,0,117074,0,123808,1,291,0,265814,1,605,0,16533,1,12600,0,28280,0,0,0,1542343,0,308072,0,398363,0,754521,0,356158,0,308032,0,677461,0,369429,0,58796,1,9550,0,15667,1,1465,4,,1,32115,1,3974,1,3974,0,0,1,27560,1,27560,0,0,0,0,0,0,0,0
