YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_IND,S_NET_INCM,S_NET_INCM_POS_IND,S_NET_INCM_POS,S_NET_INCM_NEG_IND,S_NET_INCM_NEG,a.net_incm_IND,a.net_incm,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,S_PORT_INCM_IND,S_PORT_INCM,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,a.comp_tx_bfr_crs_IND,a.comp_tx_bfr_crs,a.incm_tx_IND,a.incm_tx,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2009,3,1,12,0,3291,0,1173834626,0,104151373,0,388322912,0,7508350,0,61192320,0,45764506,0,20252909,0,55635866,0,4561132,0,39897232,0,216238197,0,273261910,0,133158553,0,10685986,0,3393427,0,22233658,0,35048289,0,6983074,0,47631740,0,1173834626,0,154590006,0,56693570,0,381086262,0,8479661,0,168923570,0,99373858,0,304687698,0,8956496,0,71368979,0,237229497,0,12867274,0,790768681,0,752793201,0,1090887,0,2635006,0,34249587,0,758023993,0,523866256,0,8371136,0,73816731,0,4383855,0,6564735,0,12490650,0,11691297,0,16517579,0,3089251,0,18115793,0,246841,0,6631357,0,3629030,0,9265512,0,1302191,0,58041776,0,32744688,0,47143042,0,58190887,0,11047845,0,31653801,0,45610090,0,13956289,0,14440321,0,2942702,0,3461514,0,483777,0,959727,0,6592601,0,835750,0,1215596,0,379845,0,213171,0,349380,0,136210,0,67520,0,41231,0,21888
2009,3,1,11,0,3452,0,239128749,0,25834297,0,63819360,0,1310086,0,27503360,0,5918118,0,2911033,0,15729749,0,2303076,0,3944264,0,34106896,0,88422753,0,48515623,0,1049230,0,362771,0,6910335,0,7695952,0,2216094,0,5384899,0,239128749,0,27406125,0,19690725,0,48298453,0,6859949,0,37820698,0,9016892,0,90035906,0,2803134,0,21373026,0,69941405,0,4081660,0,304954832,0,298162009,0,184894,0,615223,0,5992707,0,293233330,0,211869599,0,4543221,0,25990368,0,1385429,0,1200224,0,4726778,0,4855502,0,3047412,0,623099,0,6497019,0,83474,0,2352161,0,999160,0,3513106,0,140552,0,21406227,0,11721502,0,13649352,0,18701996,0,5052644,0,11536609,0,16107154,0,4570546,0,1832566,0,704682,0,1044039,0,122044,0,-555676,0,517477,0,236491,0,421085,0,184593,0,43686,0,85841,0,42155,0,38700,0,26991,0,10863
2009,3,1,10,0,6808,0,234478930,0,26594461,0,53075807,0,1371580,0,36137938,0,2126864,0,1330670,0,16665249,0,3225862,0,2337730,0,29825308,0,101362450,0,57285333,0,1469589,0,660890,0,8283524,0,7331040,0,2383567,0,6413808,0,234478930,0,27107063,0,26655490,0,30286194,0,10045129,0,41777537,0,7529989,0,91077527,0,3748558,0,23883690,0,67703920,0,4258641,0,391481927,0,385450744,0,108240,0,671954,0,5250988,0,378454555,0,285928305,0,5412073,0,31215222,0,1603370,0,1067845,0,6351040,0,5915167,0,3052479,0,591632,0,7352432,0,56260,0,2567774,0,1092428,0,3880031,0,110520,0,22257976,0,13027372,0,15573499,0,20551511,0,4978012,0,12919132,0,18159131,0,5239999,0,2344944,0,373103,0,1059255,0,154078,0,-4231,0,762739,0,243103,0,564275,0,321172,0,66320,0,119088,0,52768,0,27323,0,22450,0,3741
2009,3,1,9,0,22923,0,349027647,0,44368537,0,69677682,0,1180782,0,61513062,0,574962,0,1157473,0,23755819,0,5935618,0,3335253,0,36707149,0,165420495,0,95526377,0,1130607,0,479613,0,15768598,0,12490829,0,4556526,0,8934861,0,349027647,0,41301567,0,43975707,0,30416027,0,18529934,0,70222912,0,10806257,0,133775242,0,7435445,0,36709561,0,96440139,0,6809902,0,636159368,0,627084330,0,122293,0,772772,0,8179972,0,614497579,0,453471266,0,11535016,0,55198088,0,2840259,0,1610744,0,12187595,0,10421165,0,4477431,0,900706,0,10400068,0,79532,0,4431820,0,1895113,0,6803431,0,137477,0,38107868,0,21661788,0,25308932,0,33829335,0,8520403,0,21539495,0,30203276,0,8663781,0,3049754,0,566558,0,1250372,0,147590,0,93531,0,991703,0,586053,0,1051809,0,465756,0,133629,0,170910,0,37281,0,24653,0,18305,0,6069
2009,3,1,8,0,40518,0,282014185,0,35937492,0,51748812,0,876163,0,53078545,1,159446,0,607400,0,19782186,0,5490974,0,1582417,0,24643408,0,146103203,0,84962546,0,1239343,0,527205,0,15496529,0,9585706,0,3151649,0,6076291,0,282014185,0,32286655,0,37331408,0,20862490,0,19263480,0,66439559,0,7816814,0,98013780,0,8926834,0,34616404,0,60800822,0,6330280,0,547512157,0,539177085,0,38213,0,691160,0,7605698,0,530821846,0,376944613,0,13269183,0,51869908,0,2854019,0,1373908,0,12154873,0,9682618,0,4219521,0,565598,0,8578953,1,7468,0,4320346,0,1739591,0,5755472,0,64963,0,37420812,0,16690311,0,19723249,0,28205502,0,8482254,0,16652097,0,25486810,0,8834713,0,2566328,0,305290,0,982513,0,92858,0,174061,0,1011607,0,547991,0,1067623,0,519632,0,-43167,0,51639,0,94806,0,18836,0,17753,1,982
2009,3,1,7,0,253292,0,537672933,0,72631221,0,87995497,0,1001098,0,75635297,0,580069,0,523142,0,39703719,0,15066457,0,5095902,0,41476178,0,331649895,0,194346473,0,1417404,0,698399,0,37571235,0,22783475,0,8692022,0,10281434,0,537672933,0,59837175,0,52615699,0,41072984,0,66300986,0,149865819,0,18744150,0,149236120,0,21185356,0,65086713,0,74311248,0,11347197,0,1091403630,0,1077301147,0,83557,0,1723555,0,12295370,0,1053944090,0,682729976,0,34434680,0,120713185,0,7024041,0,3729331,0,30439253,0,20843137,0,9265567,0,1495632,0,16267251,1,22812,0,9101690,0,3325770,0,10494634,0,434109,0,103623021,0,37459540,0,45290258,0,65820498,0,20530240,0,37375983,0,57845447,0,20469464,0,5987232,0,323278,0,2677809,0,392641,0,232620,0,2360884,0,1813413,0,3084630,0,1271217,0,113630,0,288880,0,175250,0,27947,0,18961,1,8252
2009,3,1,6,0,238242,0,167096083,0,26426662,0,19330648,0,188174,0,19881641,1,5082,1,48123,0,11342420,0,7534091,0,1364268,0,9868439,0,127525590,0,81085919,1,188595,1,113292,0,13584851,0,12468830,0,4600353,0,3514581,0,167096083,0,15320208,0,15768427,0,13489271,0,29001978,0,49214735,0,4218421,0,40083044,0,9084281,0,28816063,0,5951999,0,3769299,0,368659313,0,363169845,0,18853,0,505422,0,4965193,0,353224888,0,191550010,0,21647805,0,48399999,0,3508407,0,1020256,0,14182037,0,9213727,0,3307108,0,753339,0,5673862,1,6672,0,3486912,0,1860346,0,3411243,0,111311,0,45091856,0,15434425,0,18683633,0,27719235,0,9035602,0,15415572,0,24540308,0,9124736,0,1894854,0,74345,0,581862,0,11486,0,135500,0,1091659,0,1288900,0,1679070,0,390170,0,84307,0,103058,1,18750,1,519,1,508,0,0
2009,3,1,5,0,338801,0,120234024,0,22217477,0,11275188,0,43245,0,14468653,1,1285,0,87708,0,6629743,0,7420587,0,935961,0,6052930,0,101338107,0,66510376,1,432775,1,99488,0,6346191,0,11686045,0,4721912,0,2716397,0,120234024,0,10981497,0,9231384,0,8443939,0,26164341,0,35131629,0,2854103,0,27427132,0,8459626,0,18898515,0,2142149,0,2073157,0,343430196,0,338407605,0,4455,0,374793,0,4643343,0,325518837,0,159713174,0,21094537,0,50155481,0,2772895,0,446621,0,15392074,0,8876361,0,2748200,0,762037,0,5156121,1,3763,0,3337178,0,1461483,0,2532399,0,116489,0,50950022,0,17911360,0,19988830,0,27707046,0,7718216,0,17906904,0,25326382,0,7419478,0,1318020,0,36281,0,365018,1,44503,0,-1330,0,873547,0,699844,0,1014261,0,314417,0,64062,0,76357,1,12295,1,4782,1,4782,0,0
2009,3,1,4,0,538828,0,84182036,0,20895643,0,6769029,0,37183,0,9479386,0,0,1,99304,0,4308877,0,5586529,0,371526,0,3155206,0,93165554,0,69258972,1,105718,1,87611,0,2505919,0,10066151,0,4395941,0,1452900,0,84182036,0,8130636,0,8495543,0,8902842,0,24358971,0,20899684,0,2912164,0,10482196,0,7869445,0,19069850,0,-13005680,0,3451419,0,352253942,0,347338287,0,5733,0,319241,0,4590681,0,332630562,0,138234039,0,33696832,0,54435560,0,3212110,0,581689,0,18112995,0,10218685,0,2392298,0,687491,0,5205593,1,4546,0,3823746,0,2013064,0,3674586,0,249382,0,56087943,0,19623380,0,20568256,0,28899192,0,8330937,0,19617646,0,27678800,0,8061154,0,513605,0,27760,0,252987,1,172,0,-5366,0,238051,0,392528,0,649163,0,256635,1,44476,1,46468,1,1992,1,162,0,0,1,162
2009,3,1,3,0,1927127,0,52431726,0,17905533,0,3203604,0,67037,0,4068862,1,178,1,14401,0,2059951,0,4967776,0,105105,0,1463520,0,95056268,0,79688655,1,63672,1,17743,0,631766,0,7014934,0,4948719,0,598312,0,52431726,0,5256914,0,8655592,0,10210675,0,44776933,0,13095939,0,1592058,0,-31156384,0,9129042,0,27980798,0,-66067949,0,2198275,0,479805882,0,472486863,0,5981,0,831500,0,6481538,0,444576858,0,144870292,0,54175612,0,74554488,0,4163875,0,525150,0,25949193,0,14175813,0,2650994,0,472985,0,5528041,1,3648,0,5932371,0,3866330,0,4013183,0,97535,0,103597346,0,35229024,0,38075140,0,51881428,0,13806288,0,35223043,0,49036683,0,13813640,0,2243288,0,44770,0,274909,0,289436,0,-22314,0,1656486,0,473458,0,587065,0,113606,0,135350,0,135350,0,0,1,10438,1,10438,0,0
