YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_IND,S_NET_INCM,S_NET_INCM_POS_IND,S_NET_INCM_POS,S_NET_INCM_NEG_IND,S_NET_INCM_NEG,a.net_incm_IND,a.net_incm,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,S_PORT_INCM_IND,S_PORT_INCM,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,a.comp_tx_bfr_crs_IND,a.comp_tx_bfr_crs,a.incm_tx_IND,a.incm_tx,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2010,3,1,12,0,3387,0,1231710985,0,122476482,0,391628831,0,7557823,0,69904764,0,48574175,0,22737090,0,56959194,0,5069192,0,44808572,0,228316107,0,280687661,0,141890179,0,11453182,0,3796162,0,21792798,0,39338489,0,7698290,0,48906902,0,1231710985,0,180733014,0,51507842,0,384696705,0,9728535,0,156076721,0,104440428,0,344527740,0,10010735,0,74914363,0,275369630,0,15766989,0,870959372,0,830822633,0,1065675,0,3634573,0,35436491,0,827630913,0,589885359,0,8626912,0,77702767,0,4466222,0,5196252,0,12895026,0,13139754,0,14365440,0,2890923,0,17820837,0,311465,0,7371383,0,3784747,0,9690962,0,534446,0,58948419,0,43328459,0,63884976,0,70682520,0,6797544,0,42262784,0,52148382,0,9885598,0,20654392,0,6796631,0,3381040,0,646435,0,709285,0,9121001,0,818906,0,1196884,0,377978,0,148893,0,261030,0,112137,0,74045,0,55663,0,17210
2010,3,1,11,0,3603,0,248990395,0,26101061,0,67254742,0,1773277,0,31562327,0,5743060,0,2966002,0,15173793,0,2584878,0,3928353,0,35845891,0,93332658,0,53200737,0,1255304,0,567054,0,7013685,0,7652007,0,2249470,0,6367174,0,248990395,0,31186483,0,20932711,0,47517777,0,7261713,0,36434563,0,8546473,0,97110676,0,2777389,0,20403178,0,78094601,0,4164492,0,344254239,0,337104075,0,163628,0,1066601,0,5919936,0,330142168,0,245116525,0,4792412,0,27821306,0,1523857,0,877979,0,5111010,0,5480474,0,2786625,0,653051,0,6890582,0,65010,0,2297731,0,1114068,0,3643151,0,216728,0,21751659,0,14112071,0,17840699,0,21183911,0,3343213,0,13948443,0,17825355,0,3876911,0,3544096,0,606360,0,881689,0,134319,0,76719,0,1845009,0,288729,0,430569,0,141839,0,59430,0,93268,0,33838,0,21211,0,15156,0,4911
2010,3,1,10,0,6984,0,240134609,0,27205370,0,54799689,0,1237461,0,40115912,0,2125957,0,1493747,0,16270406,0,3010752,0,2778087,0,29271405,0,102897594,0,59470517,0,1415354,0,621185,0,8086861,0,8123332,0,2490801,0,6360107,0,240134609,0,29999589,0,27869915,0,28454696,0,9894014,0,41109716,0,7844961,0,94961717,0,4194672,0,25120549,0,70167917,0,4521420,0,422571097,0,416032957,0,103568,0,732320,0,5702252,0,406276144,0,311354101,0,5588827,0,32677426,0,1653286,0,946272,0,6674438,0,6183403,0,2749441,0,564965,0,7278201,0,62041,0,2898880,0,1125775,0,3907849,0,57055,0,22554183,0,16294953,0,21730409,0,25280720,0,3550311,0,16191385,0,20126973,0,3935588,0,5087396,0,537857,0,887461,0,96985,0,-16109,0,3581201,0,405926,0,604091,0,198165,0,45702,0,135978,0,90276,0,23936,0,16258,0,6288
2010,3,1,9,0,23935,0,363949432,0,44905081,0,75914915,0,1342593,0,69504618,0,528213,0,1325752,0,23129638,0,6253290,0,3268903,0,37376643,0,173251709,0,103240308,0,844995,0,396962,0,15083937,0,12026230,0,3755555,0,9270928,0,363949432,0,44394180,0,48833233,0,31895758,0,19313806,0,68473578,0,11264519,0,139774358,0,7971891,0,39490979,0,100481235,0,8169747,0,718274630,0,706862109,0,123332,0,1233481,0,10055707,0,690933623,0,516833067,0,12241679,0,60309662,0,3155523,0,1534677,0,13095999,0,11459526,0,4463164,0,810332,0,11067242,0,63082,0,5346601,0,2031452,0,6997013,0,163262,0,41361341,0,27341007,0,34311148,0,40727869,0,6416722,0,27217675,0,34067172,0,6849498,0,6303063,0,702242,0,1190620,0,177396,0,182046,0,4050759,0,682747,0,1092873,0,410126,0,107663,0,183338,0,75675,0,28226,0,21237,0,6646
2010,3,1,8,0,40566,0,283637754,0,35073718,0,56339198,0,812508,0,51468157,0,379203,0,667531,0,21060586,0,5028240,0,2268023,0,25207227,0,143854470,0,85593590,0,998784,0,443630,0,15126099,0,9545042,0,3332988,0,6804193,0,283637754,0,35019986,0,36849592,0,23312855,0,20622707,0,59538794,0,7933323,0,100360495,0,7882271,0,34931397,0,63799972,0,6253145,0,559115535,0,549785779,0,210598,0,855559,0,8263599,0,537516763,0,387236560,0,12585644,0,51153826,0,2856073,0,1241631,0,12214672,0,9329286,0,3769372,0,605417,0,7859180,1,15862,0,4454856,0,1623845,0,5539417,0,96290,0,36934833,0,21598772,0,25888634,0,32205993,0,6317359,0,21388174,0,28041487,0,6653313,0,3788870,0,340655,0,975809,0,145906,0,49135,0,2277366,0,688770,0,1100376,0,411606,0,22821,0,35074,0,12253,0,55759,0,52969,1,2763
2010,3,1,7,0,254127,0,532111226,0,74483879,0,89491851,0,965076,0,73462890,0,342699,0,695288,0,37275917,0,16137240,0,4809086,0,40899459,0,331679858,0,199154067,0,1272096,0,567133,0,37951583,0,25370638,0,11323865,0,10248886,0,532111226,0,60691681,0,46479035,0,41708904,0,66393168,0,142346140,0,16808494,0,157683802,0,21527873,0,63107338,0,85192641,0,12144050,0,1068431441,0,1053023755,0,63243,0,1956756,0,13387686,0,1022977136,0,649627719,0,36013098,0,119930536,0,7507873,0,2711746,0,29142855,0,23535534,0,8184086,0,1548839,0,15113917,1,25191,0,8720194,0,3446261,0,10592082,0,201649,0,106675556,0,45454305,0,52358962,0,68496193,0,16137231,0,45391061,0,61376623,0,15985562,0,4972550,0,277100,0,1753626,0,612858,0,54630,0,2274335,0,1924981,0,3277567,0,1352586,0,70370,0,210446,0,140076,0,33173,0,27406,1,449
2010,3,1,6,0,233019,0,162785975,0,26718769,0,17989202,0,147827,0,19198893,1,1485,1,85266,0,10161660,0,7991009,0,1726848,0,9664294,0,127823035,0,83289026,1,441947,1,225710,0,13480640,0,14253266,0,5973093,0,2885317,0,162785975,0,14562307,0,12382715,0,12051660,0,29392073,0,48268674,0,3415994,0,42712552,0,9569453,0,28937796,0,7602978,0,3397676,0,375228915,0,369022359,0,10286,0,472899,0,5723371,0,355204647,0,195856903,0,19862622,0,47570118,0,3444460,0,812711,0,12901952,0,9065643,0,3061424,0,859069,0,5705419,1,4110,0,3595175,0,1962073,0,3078566,0,39226,0,47385175,0,20024267,0,22390971,0,28463261,0,6072290,0,20013981,0,25918337,0,5904355,0,1064658,0,77283,0,358097,0,12600,0,16883,0,599794,0,1247102,0,1623621,0,376520,0,65230,0,133167,1,67937,1,10629,1,10629,0,0
2010,3,1,5,0,340655,0,121091459,0,24097601,0,11009190,0,108981,0,13975156,1,8555,1,20032,0,5460337,0,7110894,0,651099,0,6903313,0,107044950,0,71577607,1,347275,1,81423,0,7148381,0,10640998,0,4478907,0,2920596,0,121091459,0,10135192,0,8377923,0,10245351,0,27961416,0,33346225,0,2872018,0,28153335,0,8545469,0,23296575,0,-721753,0,2966958,0,375603810,0,370403396,0,53761,0,515328,0,4631325,0,355024185,0,177447090,0,27124419,0,51376887,0,3020815,0,736150,0,15985611,0,9651615,0,2464013,0,677071,0,5021082,1,3618,0,3478197,0,1787122,0,3213617,0,130346,0,52906532,0,20579625,0,22477769,0,28954478,0,6476710,0,20525864,0,26993293,0,6467429,0,1301664,0,103274,0,265581,0,13337,0,7635,0,911836,0,575965,0,876370,0,300405,0,74276,1,82369,1,8093,1,339,0,38,1,301
2010,3,1,4,0,564854,0,88924061,0,22353522,0,7521793,0,107920,0,10099742,0,0,1,26783,0,4093645,0,6559376,0,455984,0,3303777,0,98001128,0,73835810,1,47534,1,36668,0,2626523,0,12306514,0,6231785,0,1739924,0,88924061,0,8569842,0,8180822,0,10593748,0,24942555,0,21659036,0,3376889,0,11601170,0,8496258,0,26103617,0,-20433314,0,2565392,0,373805854,0,368370545,0,4168,0,383084,0,5048058,0,351441356,0,147967634,0,29673517,0,58485542,0,3407089,0,521582,0,19107262,0,11315096,0,2436381,0,857422,0,5434472,1,3846,0,4501703,0,2172701,0,3369921,0,11660,0,62175528,0,22364498,0,24000289,0,32239717,0,8239428,0,22360330,0,30775072,0,8414742,0,958954,0,27962,0,186462,1,40487,0,109137,0,594907,0,643378,0,787162,0,143784,0,37627,1,37694,1,67,0,0,0,0,0,0
2010,3,1,3,0,1934132,0,51547521,0,17928813,0,3007906,0,19294,0,4537003,0,0,1,10764,0,2094385,0,4221539,0,26552,0,1547389,0,98865344,0,83997899,0,145972,1,69979,0,627834,0,6064587,0,4193133,0,749740,0,51547521,0,6905539,0,6251005,0,10242473,0,46194240,0,13458793,0,1637235,0,-33141763,0,8906733,0,35217109,0,-74996591,0,2269014,0,487789671,0,480065186,0,4034,0,588174,0,7132277,0,450691776,0,147317055,0,59148817,0,73689268,0,4362880,0,529435,0,25376137,0,14542917,0,2448466,0,381222,0,5731346,1,487,0,5550264,0,3405981,0,4566007,0,164968,0,103476526,0,37097895,0,38165422,0,51144817,0,12979395,0,37093861,0,49938716,0,12844855,0,755966,0,58729,0,111805,0,251833,0,9171,0,324428,0,190929,0,410665,0,219736,0,124666,1,126056,1,1390,0,0,0,0,0,0
