YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,COMP_TX_EXMT_INTRST_IND,COMP_TX_EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,COMP_OTHR_RCPTS_IND,COMP_OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_IND,S_NET_INCM,S_NET_INCM_POS_IND,S_NET_INCM_POS,S_NET_INCM_NEG_IND,S_NET_INCM_NEG,a.net_incm_IND,a.net_incm,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,S_PORT_INCM_IND,S_PORT_INCM,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,a.comp_tx_bfr_crs_IND,a.comp_tx_bfr_crs,a.incm_tx_IND,a.incm_tx,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2008,3,1,2,0,722118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95085539,0,92502171,0,28333,0,1770851,0,784185,0,96206451,0,40099446,0,6940828,0,12004129,0,912604,0,521868,0,4431724,0,2477661,0,1294070,0,387537,0,1810669,1,11042,0,1187202,0,362752,0,564003,0,583498,0,22617418,0,-1120912,0,9936690,0,22101876,0,12165187,0,-1149244,0,11705976,0,12855221,0,11060757,0,653224,0,489311,0,7604,0,-110716,0,10021335,0,31159,0,333264,0,302105,0,-5982,0,10522,0,16504,1,72174,1,71650,1,469
2008,3,1,1,0,4049944,0,3367303575,0,385242478,0,810822887,0,12603977,0,423887071,0,54708426,0,25175935,0,212605878,0,63736200,0,56780143,0,400304089,0,1492868844,0,862968368,0,16525111,0,5846137,0,126125670,0,133660220,0,42016660,0,88295761,0,3367303575,0,409010011,0,336333238,0,605841941,0,243531265,0,693926473,0,161033682,0,917626965,0,87638218,0,333446232,0,551167819,0,54625305,0,6126386899,0,6013292245,0,2228997,0,11956314,0,98909342,0,5884131516,0,3788537580,0,231091693,0,618226025,0,37331809,0,15903851,0,159392195,0,105684133,0,66521930,0,9509851,0,105468761,0,694877,0,51461038,0,24042313,0,55651936,0,2331493,0,612282030,0,242255383,0,317090536,0,432213546,0,115123011,0,240026386,0,360625661,0,120599276,0,69556907,0,9061621,0,16348016,0,2191558,0,-1342564,0,43298277,0,6923722,0,11806539,0,4882816,0,583521,0,1620744,0,1037223,0,620387,0,551748,0,58032
2008,3,11,12,0,54,0,13066087,0,765772,0,1793618,0,11238,0,2082819,0,132626,0,204767,0,1219894,0,79412,0,21130,0,1929405,0,5708211,0,3209837,0,605508,0,14,0,913392,0,103250,0,29398,0,756771,0,13066087,0,745756,0,1517596,0,778729,0,370672,0,2903020,0,457758,0,6292557,0,167402,0,1003451,0,5283935,0,162232,0,14473845,0,14708962,0,14867,0,16386,0,-266370,0,14488949,0,10241226,0,55151,0,899002,0,104350,0,4020,0,208562,0,115567,0,168473,0,48401,0,409664,0,12106,0,44023,0,13565,0,187360,0,11,0,1977468,0,-15104,0,226041,0,649759,0,423718,0,-29971,0,439628,0,469599,0,254587,0,150634,0,101670,0,246,0,-27345,0,29380,0,2865,0,7773,0,4908,0,-1440,0,418,0,1858,0,2980,0,2658,0,0
2008,3,11,11,0,75,0,4992552,0,302864,0,654130,0,7872,0,819972,0,3444,0,0,0,213564,0,90997,0,72242,0,660389,0,2795188,0,1568459,0,62015,0,7674,0,592896,0,124824,0,12806,0,196839,0,4992552,0,277460,0,825975,0,231784,0,201043,0,1062227,0,189983,0,2204080,0,91704,0,885090,0,1317145,0,89859,0,6527278,0,6238715,0,1160,0,23570,0,263834,0,6423198,0,3822652,0,58937,0,360971,0,74781,0,11170,0,99073,0,61315,0,91437,0,13188,0,231182,0,0,0,11157,0,8464,0,64268,0,857,0,1513744,0,104081,0,264977,0,435986,0,171010,0,102920,0,313340,0,210419,0,137699,0,32562,0,32079,0,2299,0,-2998,0,73757,0,23081,0,23551,0,470,0,1277,0,1278,0,1,0,1183,0,1183,0,0
2008,3,11,10,0,149,0,5106351,0,238296,0,471486,1,1766,0,562443,1,23,0,0,0,402082,0,211325,1,49209,0,1045219,0,2630148,0,1465113,1,161113,1,24426,0,610087,0,21658,0,6618,0,201185,0,5106351,0,358982,0,628479,0,241100,0,620756,0,1073246,0,39413,0,2144375,0,273146,0,612752,0,1310082,0,51604,0,3843399,0,3686440,1,3710,0,6459,0,146789,0,3882902,0,2471720,0,28823,0,201251,0,40940,0,7045,0,69132,0,45910,0,90198,0,3184,0,153850,1,1793,0,7998,0,10930,0,19248,1,335,0,730545,0,-39503,0,67786,0,286358,0,218572,0,-43213,0,216301,0,259514,0,78905,0,9622,0,53951,1,7916,1,-11800,0,19216,0,31878,0,32345,1,467,1,216,1,216,0,0,1,66,1,66,0,0
2008,3,11,9,0,542,0,8027444,0,541126,0,852262,0,9600,0,1425731,1,35453,1,149125,0,391784,0,183361,1,53033,0,865296,0,4452806,0,2724893,1,129269,1,10127,0,1370466,0,47828,0,19578,0,294102,0,8027444,0,453924,0,1210504,0,350367,0,868795,0,1494089,0,299386,0,3350378,0,167688,0,2132896,0,1154066,0,104271,0,8050550,0,7623880,0,7090,0,24358,0,395223,0,7961389,0,4917083,0,111830,0,757293,0,96568,0,2593,0,123926,0,119207,0,140044,0,2828,0,298349,1,1240,0,12027,0,17718,0,55498,1,8008,0,1297178,0,89161,0,358937,0,637463,0,278526,0,82071,0,421647,0,339575,0,250181,0,24501,0,47655,1,118438,0,-1766,0,61353,0,23152,0,26816,1,3664,0,3533,1,3570,1,38,0,10,0,10,0,0
2008,3,11,8,0,720,0,5033789,0,387116,0,355185,1,831,0,629989,0,0,0,0,0,84677,0,44810,0,267,0,199674,0,4906298,0,2747843,1,15887,1,1811,0,974119,0,88112,0,20245,0,118387,0,5033789,0,148482,0,642971,0,224947,0,700150,0,2049359,0,42568,0,1225314,0,423901,0,3674740,0,-2714468,1,158858,0,5690897,0,5159644,1,457,0,81877,0,448918,0,5985916,0,2666992,0,64217,0,407460,0,126165,1,822,0,162450,0,92436,0,197489,0,20750,0,370188,0,0,0,14495,0,5867,0,27997,1,24206,0,1804383,0,-295019,0,-144376,0,435463,0,579839,0,-295477,0,315865,0,611341,0,144128,0,3817,0,22154,1,33734,1,-1063,0,85487,1,6673,1,6673,0,0,1,299,1,299,0,0,0,11719,0,11719,0,0
2008,3,11,7,0,9301,0,18643879,0,1692493,0,681503,1,3806,0,1288404,1,328,1,226320,0,666007,0,1119478,1,197735,0,1040551,0,18470593,0,12424074,1,290189,1,78280,0,4470728,0,636460,0,285356,0,654606,0,18643879,0,618270,0,1938753,0,812569,0,5434057,0,5633022,0,1072603,0,3134605,0,1670166,0,5231102,0,-3335404,0,431260,0,18109187,0,16462156,1,14592,0,128113,0,1504326,0,18343408,0,6899635,0,249193,0,1542896,0,551687,1,3788,0,1023260,0,384614,0,464030,0,44491,0,1295679,0,0,0,38476,0,46547,0,154935,1,7998,0,5636179,0,-234221,0,475103,0,1586203,0,1111100,0,-248813,0,1120921,0,1369734,0,630963,0,42763,0,80620,1,310318,1,-2474,0,199736,0,68381,0,75463,1,7081,1,24571,1,24571,0,0,1,4592,1,4592,0,0
2008,3,11,6,0,11626,0,7997753,0,801278,0,488816,0,0,0,432399,0,0,0,0,0,364384,0,517960,1,129988,0,329759,0,10952358,0,8104982,0,0,0,0,0,1802223,0,233131,0,101261,0,151700,0,7997753,0,290207,0,1035161,0,248042,0,3046525,0,2751002,0,186715,0,440102,0,840255,0,3313639,0,-3689166,1,24626,0,14828275,0,12988923,1,3004,0,52110,0,1784238,0,14398783,0,5181143,0,334193,0,1072209,0,478139,1,3757,0,433583,0,271016,0,231021,0,5535,0,882769,0,0,0,37347,1,21465,0,74022,1,425,0,5372158,0,429491,0,531256,0,1079391,0,548135,0,426488,0,980526,0,554039,0,71307,1,3866,0,23532,1,459,1,-126,1,43577,1,27124,1,29207,1,2083,1,6337,1,6337,0,0,1,6115,1,6115,0,0
2008,3,11,5,0,11805,0,4248076,0,678800,1,38112,0,0,0,423781,0,0,0,0,0,132206,1,440864,1,13131,0,385491,0,5507558,0,4443283,1,18882,0,0,0,688146,1,133320,1,8646,0,239714,0,4248076,1,1825,0,542871,0,20433,0,745464,0,1249987,1,81840,0,1605657,0,741773,0,1095804,0,-115630,1,116291,0,6047402,0,5610334,1,660,1,48126,0,388281,0,5782373,1,1553152,0,204956,0,501907,0,191791,1,82141,0,501452,0,115123,0,133019,1,4234,0,313891,1,419,0,23262,1,7239,0,43651,0,0,0,2106135,0,265029,0,442174,0,739941,0,297767,0,264369,0,578844,0,314475,0,69725,1,10016,0,9537,1,13058,1,-509,1,37623,1,48986,1,51781,1,2794,1,59093,1,59093,0,0,0,0,0,0,0,0
2008,3,11,4,0,10590,0,1654020,0,222658,1,28658,0,0,1,69402,0,0,0,0,1,48675,1,195165,0,0,1,160357,0,2412697,0,1811877,0,0,0,0,1,209193,1,73474,1,3304,1,48921,0,1654020,1,51781,0,250025,0,36710,0,812057,0,453389,1,266497,0,-216438,0,409697,0,694518,0,-1262932,1,57720,0,2739190,0,2592389,0,0,1,2095,0,144707,0,2650674,0,917600,0,68469,0,251292,0,123628,0,0,0,252689,0,47489,0,61295,1,1769,0,112105,0,0,0,10365,1,304,1,20571,0,0,0,783098,0,88516,0,135886,0,365771,0,229885,0,88516,0,321634,0,233118,0,6929,1,782,0,6146,0,0,0,0,0,0,1,40441,1,42524,1,2083,0,0,0,0,0,0,0,0,0,0,0,0
2008,3,11,3,0,23406,0,890618,0,123953,1,7217,0,0,1,16145,0,0,0,0,1,36226,0,60340,0,0,1,47686,0,2684056,0,2125146,0,0,0,0,1,53568,0,22981,0,14884,1,-21526,0,890618,1,19132,1,175234,0,36518,0,3027144,0,334202,1,55798,0,-2757410,0,189816,0,1000471,0,-3947697,0,0,0,4004828,0,3579893,1,308,1,51367,0,373260,0,3854965,0,1046135,0,212108,0,337134,0,147031,1,61,0,519251,0,70335,0,44754,1,1065,0,207111,0,0,0,7032,0,0,1,13656,1,2887,0,1246405,0,149863,0,162740,0,551882,0,389142,0,149555,0,547495,0,397940,0,2910,1,287,0,2193,0,0,1,-497,1,927,1,10275,1,10275,0,0,0,0,0,0,0,0,0,0,0,0,0,0
