YEAR,TAB_NUM,INDY_CD,AC,WT_CT_IND,WT_CT,TOT_ASSTS_IND,TOT_ASSTS,CASH_IND,CASH,TRD_NOTES_ACCTS_RCV_IND,TRD_NOTES_ACCTS_RCV,BAD_DBT_ALLW_IND,BAD_DBT_ALLW,INVNTRY_IND,INVNTRY,GVT_OBLGNS_IND,GVT_OBLGNS,TX_EXMT_SEC_IND,TX_EXMT_SEC,OTHR_CUR_ASSTS_IND,OTHR_CUR_ASSTS,LNS_TO_STKHDR_IND,LNS_TO_STKHDR,MRTG_RE_LNS_IND,MRTG_RE_LNS,OTHR_INVSMTS_IND,OTHR_INVSMTS,DPRCBL_ASSTS_IND,DPRCBL_ASSTS,ACCUM_DPR_IND,ACCUM_DPR,DPTBL_ASSTS_IND,DPTBL_ASSTS,ACCUM_DPLTN_IND,ACCUM_DPLTN,LAND_IND,LAND,INTNGBL_ASSTS_IND,INTNGBL_ASSTS,ACCUM_AMORT_IND,ACCUM_AMORT,COMP_OTHR_ASSTS_IND,COMP_OTHR_ASSTS,TOT_LBLTS_IND,TOT_LBLTS,ACCTS_PYBL_IND,ACCTS_PYBL,MRTG_LT_1YR_IND,MRTG_LT_1YR,COMP_OTHR_CUR_LBLTS_IND,COMP_OTHR_CUR_LBLTS,LNS_FRM_STKHDR_IND,LNS_FRM_STKHDR,MRTG_GT_1YR_IND,MRTG_GT_1YR,COMP_OTHR_LBLTS_IND,COMP_OTHR_LBLTS,COMP_NET_WRTH_IND,COMP_NET_WRTH,CAP_STCK_IND,CAP_STCK,PD_CAP_SRPLS_IND,PD_CAP_SRPLS,COMP_RTND_ERNGS_UNAPPR_IND,COMP_RTND_ERNGS_UNAPPR,CST_TRSRY_STCK_IND,CST_TRSRY_STCK,COMP_TOT_RCPTS_IND,COMP_TOT_RCPTS,GRS_RCPTS_IND,GRS_RCPTS,EXMT_INTRST_IND,EXMT_INTRST,NET_GN_LSS_POS_IND,NET_GN_LSS_POS,OTHR_RCPTS_IND,OTHR_RCPTS,COMP_TOT_DED_IND,COMP_TOT_DED,CST_OF_GDS_IND,CST_OF_GDS,CMPNSTN_OFFCRS_IND,CMPNSTN_OFFCRS,SLRS_WGS_IND,SLRS_WGS,RPRS_IND,RPRS,BAD_DBT_DED_IND,BAD_DBT_DED,RNTS_PD_IND,RNTS_PD,TX_PD_IND,TX_PD,INTRST_PD_IND,INTRST_PD,TOT_AMORT_IND,TOT_AMORT,NET_DPR_IND,NET_DPR,DPLTN_IND,DPLTN,ADVRTSNG_IND,ADVRTSNG,PNSN_PRFT_SHRNG_PLNS_IND,PNSN_PRFT_SHRNG_PLNS,EMP_BNFT_PRG_IND,EMP_BNFT_PRG,NET_GN_LSS_NEG_IND,NET_GN_LSS_NEG,COMP_OTHR_DED_IND,COMP_OTHR_DED,COMP_TOT_RCPTS_LS_TOT_DED_IND,COMP_TOT_RCPTS_LS_TOT_DED,S_NET_INCM_IND,S_NET_INCM,S_NET_INCM_POS_IND,S_NET_INCM_POS,S_NET_INCM_NEG_IND,S_NET_INCM_NEG,NET_INCM_IND,NET_INCM,NET_INCM_POS_IND,NET_INCM_POS,NET_INCM_NEG_IND,NET_INCM_NEG,S_PORT_INCM_IND,S_PORT_INCM,S_DIV_INCM_IND,S_DIV_INCM,S_INTRST_INCM_IND,S_INTRST_INCM,S_RYLTS_INCM_IND,S_RYLTS_INCM,S_NET_STCG_LSS_IND,S_NET_STCG_LSS,S_NET_LTCG_LSS_IND,S_NET_LTCG_LSS,S_NET_INCM_RNTL_RE_IND,S_NET_INCM_RNTL_RE,S_NET_INCM_RNTL_RE_POS_IND,S_NET_INCM_RNTL_RE_POS,S_NET_INCM_RNTL_RE_NEG_IND,S_NET_INCM_RNTL_RE_NEG,S_NET_INCM_OTHR_RNTL_IND,S_NET_INCM_OTHR_RNTL,S_NET_INCM_OTHR_RNTL_POS_IND,S_NET_INCM_OTHR_RNTL_POS,S_NET_INCM_OTHR_RNTL_NEG_IND,S_NET_INCM_OTHR_RNTL_NEG,COMP_TX_BFR_CRS_IND,COMP_TX_BFR_CRS,BUILT_GN_TX_IND,BUILT_GN_TX,S_EX_NET_PSV_INCM_TX_IND,S_EX_NET_PSV_INCM_TX
2007,3,1,12,0,3232,0,1155642922,0,82148188,0,401282447,0,5798321,0,75041702,0,47910233,0,17226764,0,68761150,0,6158297,0,38414500,0,207266504,0,241866087,0,108906160,0,8733414,0,2448470,0,19437987,0,28685206,0,5441857,0,35305252,0,1155642922,0,154720261,0,76663333,0,364115641,0,7849076,0,170643853,0,59693320,0,321957438,0,10976315,0,65190242,0,255201629,0,9410748,0,857073035,0,817884051,0,1165309,0,2207354,0,35816321,0,819053409,0,590315360,0,9503904,0,69956337,0,3962093,0,3183009,0,10579103,0,11357278,0,25055454,0,1911843,0,14569836,0,337877,0,7173141,0,3170665,0,8569729,0,453568,0,58954212,0,38019626,0,65564858,0,72144496,0,6579638,0,36854317,0,48268863,0,11414546,0,27504943,0,4790015,0,6264220,0,449403,0,1122898,0,14878407,0,803373,0,1226840,0,423467,0,402225,0,447626,0,45401,0,344702,0,304092,0,33866
2007,3,1,11,0,3607,0,250131667,0,22971108,0,70729228,0,1175214,0,35639713,0,6887274,0,2857475,0,16301667,0,2015029,0,3941488,0,31968735,0,82257478,0,43167474,0,1116801,0,362472,0,7259148,0,6138978,0,1499658,0,6252362,0,250131667,0,30875217,0,26281412,0,51213189,0,5533706,0,40941867,0,6847385,0,88438891,0,2674461,0,18716121,0,70359332,0,3311024,0,356113889,0,348115439,0,296613,0,661491,0,7040346,0,340557084,0,255699676,0,5229251,0,27926698,0,1446678,0,676209,0,5005919,0,5398026,0,4855935,0,491641,0,5399698,0,90043,0,2498657,0,1117461,0,3394085,0,59996,0,21267113,0,15556804,0,22988932,0,25742797,0,2753865,0,15260191,0,18828122,0,3567931,0,7376759,0,499001,0,1919480,0,126998,0,96326,0,4734954,0,260462,0,434138,0,173676,0,91520,0,125166,0,33645,0,70018,0,60608,0,7836
2007,3,1,10,0,7672,0,265140524,0,25919565,0,65024772,0,1245934,0,48017902,0,2889200,0,1660337,0,19494059,0,2684468,0,2747202,0,29608240,0,98507649,0,52110265,0,972747,0,406291,0,9807123,0,8054109,0,2455900,0,5971541,0,265140524,0,34738680,0,36619633,0,34689204,0,9464230,0,48960539,0,7116215,0,93552021,0,3960569,0,19422800,0,74501433,0,4332781,0,477524809,0,468798975,0,181700,0,867499,0,7676635,0,458344198,0,356734585,0,6753762,0,33142269,0,1752071,0,921583,0,6889532,0,6169318,0,5113106,0,572134,0,6530621,0,59119,0,3280516,0,1462326,0,4112001,0,45811,0,24805443,0,19180611,0,26128239,0,29260557,0,3132318,0,18998911,0,22824104,0,3825193,0,6605226,0,504938,0,1807521,0,164303,0,185979,0,3942485,0,388698,0,620217,0,231519,0,135404,0,180093,0,44689,0,51408,0,43376,0,7415
2007,3,1,9,0,25964,0,394013081,0,42311519,0,84583382,0,1347150,0,84180196,0,835851,0,1253453,0,30731936,0,5568033,0,4520945,0,36746438,0,159683186,0,86857486,0,990530,0,466981,0,15182009,0,10426699,0,2662396,0,8332918,0,394013081,0,50286809,0,67215355,0,37374105,0,19226122,0,78520701,0,10149913,0,131240076,0,7754647,0,34105934,0,96106006,0,6726512,0,825632896,0,812877712,0,202534,0,1279143,0,11273507,0,795405880,0,606126917,0,13258589,0,64639359,0,3273652,0,1347052,0,13254749,0,12226806,0,7969060,0,762842,0,10167431,0,102259,0,5816884,0,2141058,0,7806454,0,147958,0,46364811,0,30227015,0,41906632,0,48175931,0,6269300,0,30024481,0,37320344,0,7295863,0,11103223,0,963494,0,2783642,0,205228,0,129850,0,7021009,0,579544,0,1028277,0,448733,0,199384,0,226548,0,27164,0,109071,0,97302,0,10252
2007,3,1,8,0,43488,0,301332322,0,34945433,0,61312837,0,690839,0,66884738,0,152791,0,924078,0,23349996,0,4604102,0,2073994,0,24275763,0,134262831,0,74201262,0,806897,0,369385,0,12775386,0,8175552,0,2805250,0,4854660,0,301332322,0,37979517,0,47155052,0,25729820,0,17218684,0,65734389,0,7695310,0,99819551,0,8890961,0,26581527,0,69627120,0,5280058,0,654209553,0,645402335,0,244930,0,962361,0,7599927,0,629052543,0,463633725,0,13844785,0,54827068,0,3237325,0,1101849,0,12235479,0,11529090,0,6058138,0,534382,0,7982663,0,35807,0,4798983,0,1965180,0,5615044,0,201970,0,41451055,0,25157010,0,33281787,0,39645842,0,6364055,0,24912080,0,31878326,0,6966246,0,7687993,0,382280,0,1989471,0,82653,0,33480,0,5200111,0,618888,0,1089121,0,470233,0,62825,0,100314,0,37489,0,86768,0,82280,1,4465
2007,3,1,7,0,253612,0,532246822,0,68790031,0,89858126,0,613428,0,76900426,0,376806,0,881699,0,42213943,0,14092985,0,5075783,0,39732159,0,297859724,0,162553527,0,895950,0,536292,0,35427719,0,22408610,0,9201979,0,10638087,0,532246822,0,58696400,0,57244377,0,44828403,0,61498120,0,143066538,0,16244785,0,150668199,0,18760916,0,66596479,0,74645920,0,9335116,0,1118788622,0,1103104558,0,128662,0,2070634,0,13484768,0,1069907088,0,707475329,0,37580675,0,111725973,0,7434449,0,2008743,0,28595100,0,22609375,0,11414847,0,1296657,0,14941505,1,22218,0,9140433,0,4035011,0,9813072,0,283328,0,101530373,0,48881534,0,66467789,0,81811418,0,15343629,0,48752872,0,64906432,0,16153561,0,15886143,0,550609,0,3579087,0,141992,0,551853,0,11062602,0,1688028,0,2968301,0,1280273,0,140746,0,226180,0,85434,0,66114,0,63324,1,2221
2007,3,1,6,0,238450,0,166624437,0,25346276,0,21195200,0,259853,0,21940242,1,33601,1,141078,0,10078712,0,6719206,0,1522010,0,7916934,0,123671676,0,75424260,0,400323,0,195019,0,12441415,0,12253778,0,4350625,0,3193745,0,166624437,0,16548070,0,13625797,0,12936408,0,27704729,0,53415838,0,4444456,0,37949140,0,8929930,0,24592247,0,8124314,0,3697351,0,393104999,0,387642924,0,27723,0,1095932,0,4338419,0,372126471,0,205021431,0,18951739,0,47987551,0,3585944,0,657159,0,13884711,0,9405210,0,4540874,0,720180,0,6002338,1,9210,0,3921235,0,1652452,0,3256028,0,51852,0,52478556,0,20978527,0,25754568,0,32650339,0,6895771,0,20950805,0,27833319,0,6882515,0,3481536,0,157508,0,864523,1,16650,0,39729,0,2403126,0,1306607,0,1729881,0,423273,0,15620,0,175955,1,160335,1,4997,1,4997,0,0
2007,3,1,5,0,331893,0,116864458,0,22518683,0,12573689,0,57503,0,13795680,1,25424,1,24542,0,6700144,0,6085219,0,769831,0,6398719,0,94038776,0,60552330,0,589831,1,352578,0,6155787,0,9558190,0,3495872,0,2088227,0,116864458,0,11100128,0,8440896,0,8875867,0,26188348,0,33027887,0,2771940,0,26459393,0,7399033,0,20600422,0,371177,0,1911239,0,386972738,0,383171402,0,15718,0,474405,0,3311213,0,365888679,0,194273635,0,22992536,0,51703114,0,3321154,0,407713,0,15474460,0,9567190,0,3047971,0,636955,0,4365870,1,1093,0,4204130,0,1798473,0,2578910,0,71052,0,51444424,0,21084059,0,23826739,0,30457186,0,6630447,0,21068341,0,27852790,0,6784450,0,1787203,0,112309,0,568901,1,49255,0,13899,0,1042840,0,701769,0,986135,0,284366,0,269426,1,295300,1,25874,1,8397,1,8397,0,0
2007,3,1,4,0,567825,0,90334910,0,21008943,0,7483264,0,36588,0,9501084,1,20993,1,44195,0,4550353,0,6010165,0,468789,0,4126238,0,90005535,0,62944984,1,105399,1,62039,0,2765038,0,9193421,0,3745455,0,1840559,0,90334910,0,8435982,0,8697151,0,8851885,0,24194423,0,22831714,0,1478938,0,15844816,0,8362733,0,17665161,0,-8289838,0,1893240,0,405232707,0,400085563,0,13708,0,625044,0,4508392,0,380869172,0,177353496,0,32716924,0,60865965,0,3585076,0,451164,0,17134659,0,10891583,0,2984553,0,598323,0,5706786,0,0,0,4212151,0,2333962,0,3085747,1,111847,0,58836938,0,24363535,0,27254398,0,35021033,0,7766635,0,24349827,0,32297287,0,7947460,0,1961222,0,53278,0,702449,1,79416,0,31767,0,1094312,0,863238,0,1083133,0,219894,0,80111,1,80304,1,193,0,0,0,0,0,0
2007,3,1,3,0,1800094,0,52005612,0,17626865,0,2627586,1,10055,0,4242224,1,4557,1,30498,0,1851405,0,4404748,0,105932,0,1277203,0,84043280,0,67350196,0,68011,1,16308,0,556540,0,6062691,0,3912890,0,393522,0,52005612,0,4860395,0,6953125,0,9656569,0,38160707,0,13776327,0,1549500,0,-22951010,0,7723517,0,24925814,0,-54131023,0,1469318,0,509612204,0,503687820,0,31832,0,886881,0,5005671,0,469279549,0,169226197,0,55452699,0,75903972,0,4332635,0,405661,0,25544917,0,14738909,0,2839305,0,447952,0,5005171,1,3805,0,6433019,0,4308933,0,4145002,0,25552,0,100465821,0,40332654,0,47937299,0,60154886,0,12217587,0,40300823,0,52807091,0,12506268,0,7280729,0,107127,0,419973,1,70311,0,-36356,0,6719675,0,305333,0,469137,0,163805,0,50415,0,76300,1,25886,1,2641,1,909,1,1133
