asset_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
EP1A,20.273037542662117,27.094405594405593,39.49843260188088,74.44444444444443,73.14728682170542,85.54248366013073,96.1594746716698,138.6312849162011,145.27133105802048,207.7914110429448,241.51134644478066,239.14160583941606,316.60204081632656,301.8382352941176,314.40568720379144,288.04448563484704,329.883701883702,408.52412868632706,638.2661512976256,877.400285578296,918.1847426470589,1385.1504534212697,1041.7298679164892,1236.1369193154035,1546.270718232044,1665.3761983471077,1553.0926829268294,1562.749839640795,1635.2246036406339,1474.8266228430566,1064.2462891698735,1042.7230985915492,679.5734042553191,674.1283447785934,900.0360455311974,1045.147092360319,1220.484375,1803.912828132739,1690.7007187643374,2196.5228239296853,2677.7444208289053,2185.446136167768,1926.1641280696301,2050.6123543838135,2076.9827586206898,1754.2469293756396,2430.7998590556726,2291.0346775104485,2374.799574819889,2829.3439384800963,2727.0722676200203,1875.8724075743912,2196.3575856112184,2245.2239726027397,2312.003696516034
EP1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,454.29910524073284,534.2461287693561,884.9447513812154,955.109090909091,829.3619512195122,1061.5465041693392,1359.5625366999411,1577.0780608052587,1208.2017592083562,1264.7957746478871,1596.7428191489362,1938.2557423632488,2533.331155143339,3234.693272519954,3171.97265625,3018.5190688459634,3377.740327267167,3374.6027785653528,3433.530021253985,2956.2000861821316,2938.3615169412496,3241.4650521152666,3700.2155172413795,4100.269191402252,4083.2111815832745,4515.720659663391,4224.205503720325,3778.0974065138716,3838.6338100102143,3713.433273219116,3958.9980693019,4114.425342465754,4072.3615192680904
EP1C,3.829351535836177,3.524475524475524,4.827586206896552,16.444444444444443,26.26356589147287,34.30065359477124,63.03564727954972,61.592178770949715,60.45221843003413,80.61349693251533,107.40242057488655,116.58394160583941,134.21173469387756,159.7426470588235,154.01516587677725,144.87951807228913,179.99672399672403,232.89544235924933,305.6322473771397,398.33507853403137,457.73988970588243,616.9105523495466,547.0132083510865,629.2909535452322,679.0055248618784,672.8846280991736,618.230243902439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EP1D,11.262798634812286,13.437062937062937,13.385579937304076,29.111111111111107,39.93798449612403,46.84967320261438,72.671669793621,65.3072625698324,59.336177474402724,60.1840490797546,62.827534039334346,71.6846715328467,50.17091836734694,66.54411764705881,78.51753554502369,70.46802594995366,75.77067977067979,100.65549597855228,102.70568746548868,146.17801047120417,167.25689338235296,272.51648804616656,264.09032807839793,424.93072534637326,633.2872928176795,657.9051239669423,826.2243902439025,990.6597177677996,929.057545507927,1117.2807450013693,858.1566794942275,761.4236619718309,940.515159574468,1173.2152498224011,1057.8585581787522,1075.480045610034,966.83203125,1249.8538880633978,1325.6357241168375,1616.1950666288628,1623.7773645058448,1686.4563343866705,1859.8088281007151,1282.8439607602697,1295.4310344827586,1010.1037615148413,1004.8637538172421,960.9567378289845,844.409826384788,764.624246079614,941.0188968335035,913.7883228133453,956.8957423026114,1011.1047945205479,927.0596063210426
EP1E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3854014598540146,33.869897959183675,45.220588235294116,42.61421800947867,58.12326227988878,88.6748566748567,92.04155495978551,115.62672556598565,178.23750594954782,248.4057904411765,265.71516900247326,302.47976139752876,372.0048899755501,439.91712707182313,304.62743801652897,350.7531707317073,429.50641436818466,345.23722842043446,458.46069569980824,358.5799890049478,327.13098591549294,421.3906914893617,488.3656168600521,473.9152613827994,566.358038768529,716.9765625,856.5923724616147,785.9880715705766,888.54210377091,1008.0353347502656,794.8931341568515,906.7730805097917,985.476854690374,1225.8620689655172,1075.0324974411462,1015.3617571059431,870.8104597311647,841.6192275894649,667.5497587454764,923.3082226762001,784.9222272317402,848.8800934864342,951.8876712328766,934.3003419277333
EP1F,5.406143344709897,10.793706293706293,16.018808777429467,42.444444444444436,58.604651162790695,73.20261437908496,107.20075046904316,97.17877094972066,90.77133105802048,99.20245398773005,107.40242057488655,101.93868613138686,88.75,73.52941176470587,55.19715639810426,52.80815569972196,51.2858312858313,67.156836461126,86.4715626725566,82.88957639219419,84.90579044117648,99.08285243198682,119.22454196847039,105.71312143439283,175.5524861878453,208.6525619834711,183.28585365853658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EP1G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,776.6491340602948,995.7163828537873,1123.028211448918,902.0830126443101,771.8298591549295,980.8396276595744,809.3478569737154,635.6553541315346,790.2645381984036,1138.0078125,1223.764239722635,1150.8438599174187,1036.3889991494186,1073.0249734325187,1036.5116345877623,817.9686042897109,963.8318516247701,905.1724137931035,1100.6656857727737,1187.426591496359,1337.0620128769908,1251.8372505019488,1043.0952955367911,1234.1739019407557,1069.1242110009016,1121.4009755106188,1226.8856164383562,1120.7186027169396
EP1H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.77030547004499,176.29110455311974,254.23945267958948,335.8125,422.9717682020802,738.4982413213031,852.545506095832,1020.4551009564293,1028.6918988796324,1152.7217904880324,1232.632587369712,1348.9655172413793,1573.513433981576,1743.94879022786,1963.4299107647125,1942.7641431439706,2026.7227080820264,2146.707099080694,2238.671100090171,2557.5127527690274,2628.9705479452055,2761.7883744570745
EP20,506.6006825938566,590.7902097902097,665.5485893416928,637.3333333333333,649.6434108527131,721.7777777777778,796.9793621013133,823.5754189944133,856.3754266211604,1042.4539877300613,1250.2102874432678,1279.5328467153283,1197.4005102040817,1489.3382352941176,1506.597156398104,1591.2743280815569,1756.1261261261266,2191.131367292225,2786.305908337935,3369.569252736792,3640.7302389705887,4202.75144270404,4179.233063485301,4087.6202118989404,4697.790055248618,4903.070082644629,5105.334634146342,5298.550994227067,6072.064591896652,5830.604218022459,5143.819131390874,4831.3538028169005,4900.908510638297,5323.994790433341,6354.2029932546375,6797.153933865449,7458.64453125,8515.661218424962,9103.507569964828,10298.783101786219,13201.247874601488,12362.775495547257,10383.798259247747,10343.794604537094,10978.96551724138,11253.360030706242,12279.463237021375,13723.574494521632,12688.599031534191,11155.498190591074,12362.917517875381,12017.518034265102,12373.109846560308,13607.187671232876,13870.30403844377
EP34,50.00682593856655,54.18881118881119,56.39498432601881,67.99999999999999,76.40310077519379,83.45098039215686,89.33395872420263,123.77094972067039,126.67064846416382,156.07361963190183,188.48260211800303,227.57956204379562,215.3545918367347,268.0147058823529,281.1867298578199,321.4782205746061,377.5298935298936,368.3257372654155,464.3290999447819,510.12803426939547,532.8777573529412,657.4093157460842,751.7085641244141,788.6226568867156,802.3480662983425,802.9279338842977,850.5404878048781,1051.8248877485566,1188.888138578978,1193.2007669131742,1177.0208905992304,1256.3822535211266,1365.9382978723404,1596.0497276817428,1570.2780354131535,1519.3272519954387,1588.78125,1683.6874690440811,1856.2875057348222,2024.6781967677912,2239.519394261424,2601.252082734846,3009.92601802922,3399.020539546291,3553.706896551724,4060.7134083930396,4335.675358233498,4641.692646560488,5017.3697885910005,5115.929583835947,5068.225229826353,4987.814472497746,4982.192256884463,5539.314383561644,5410.547638850385
