asset_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
EP1A,66.3481228668942,90.74475524475525,133.16614420062697,247.82163742690057,251.66149870801033,310.9825708061002,367.56285178236396,547.9236499068901,611.7389078498294,884.8450920245399,973.6520423600607,958.3781021897811,1355.5918367346937,1271.170168067227,1474.3317535545025,1315.6626506024095,1569.3972153972154,2042.6206434316357,3078.570403092214,4223.588767253689,4984.030330882353,7269.2695795548225,5888.837665104389,7344.107579462103,9246.698895027625,10415.869090909091,9859.434146341462,9528.690827453494,9641.948032883145,9081.668036154477,7848.173721825179,7896.040563380282,5414.44574468085,5226.683400426236,6827.392074198989,8350.058152793616,9946.7421875,14495.628198778271,13728.292093592292,17861.669974482564,21086.406748140278,15998.906061476588,12520.066832452598,13077.961373390559,12868.213397399659,10834.242835209827,15293.968287526428,14200.413193267821,14836.969410653122,16805.58172496984,17374.542900919303,12892.52502254283,14864.600650340411,14571.55733855186,15057.620460216247
EP1B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2568.126118449084,3174.0505297473514,5291.969613259668,5973.6,5265.0042276422755,6472.660038486209,8016.532589547855,9711.31059983566,8909.758383727323,9577.69014084507,12721.918351063829,15027.775041439734,19217.05817875211,25843.134549600913,25851.043146306816,24255.78966485058,27426.85640006117,27441.572866458748,27037.983926673754,21641.332950301636,19099.349860118124,20672.729613733907,22925.160401356698,25323.294779938587,25690.515856236787,27989.58036823676,26391.451517656784,22440.935464414957,24456.450459652704,25521.7418845807,26793.87257392541,26702.71898238748,26522.48100914888
EP1C,12.532423208191126,11.804195804195805,16.27586206896552,54.742690058479525,90.35917312661498,124.69716775599129,240.94934333958724,243.4357541899441,254.56484641638224,343.27914110429447,432.99243570347966,467.2189781021898,574.6530612244896,672.7447478991597,722.218009478673,661.7469879518072,856.3210483210484,1164.4772117962468,1474.166206515737,1917.4869109947645,2484.673713235294,3237.5465787304206,3092.233489561142,3738.728606356968,4060.453038674033,4208.465454545455,3924.6855284552844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EP1D,36.86006825938566,45.00349650349651,45.128526645768034,96.9093567251462,137.40568475452196,170.31808278867103,277.78236397748594,258.1191806331471,249.86518771331058,256.28374233128835,253.2889561270802,287.28175182481755,214.8163265306122,280.2457983193277,368.18957345971563,321.86746987951807,360.47338247338246,503.27747989276145,495.383765875207,703.6649214659686,907.8929227941177,1430.166529266282,1492.8870899020026,2524.588427057865,3787.0580110497235,4114.778181818182,5245.0861788617885,6040.435856318152,5478.100411039341,6879.976718707203,6328.3873007146785,5765.895211267606,7493.4779255319145,9096.22732654511,8024.584317032041,8592.399087799316,7879.518288352272,10043.399537724945,10764.007034714788,13142.564502409981,12786.743092454837,12345.971847170353,12088.757382654649,8181.450643776824,8026.00932730356,6238.408776867963,6322.344608879493,5956.2532474867285,5275.595842683359,4541.673100120627,5995.357507660878,6280.2985798016225,6476.11899197236,6562.094324853229,6037.75492098697
EP1E,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5445255474452555,145.02040816326527,190.44327731092437,199.82938388625593,265.48192771084337,421.86404586404586,460.2077747989277,557.7062396466041,857.9914326511185,1348.380055147059,1394.4732069249794,1709.9002982530892,2210.1466992665037,2630.704419889503,1905.250909090909,2226.671869918699,2618.8669018601663,2035.6588373458599,2823.1032593809914,2644.3108851017046,2477.205633802817,3357.3960106382974,3786.4191333175463,3594.9730185497474,4524.839224629419,5843.23828125,6883.284134059764,6382.131212723658,7225.440884604481,7937.965595111584,5819.141625969549,5894.025023313647,6284.965665236052,7594.985867721876,6639.409160696008,6388.39534883721,5397.503784028014,5258.161096019841,3965.0753920386005,5882.520429009192,5394.625676284941,5745.086170104664,6177.773776908024,6084.912392570003
EP1F,17.69283276450512,36.15034965034965,54.00626959247649,141.2953216374269,201.62790697674419,266.12200435729847,409.7673545966229,384.08752327746737,382.23890784982933,422.4371165644172,432.99243570347966,408.52700729927005,379.99999999999994,309.6638655462185,258.8341232227488,241.2048192771084,243.988533988534,335.78418230563005,417.0811706239646,399.0099952403618,460.88005514705884,519.9868095630668,673.969322539412,628.0603096984515,1049.8038674033148,1304.989090909091,1163.5460162601626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EP1G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4735.530468248877,5871.14797416324,6915.368392221309,6652.31748213304,5844.6963380281695,7814.759840425531,6275.073644328676,4821.8827993254645,6313.7092360319275,9274.572088068182,9833.752022453358,9344.717540908396,8427.701304224554,8449.738841657812,7587.948290721057,5316.795927883121,6146.922746781116,5608.111927642735,6797.719933469805,7470.9830866807615,8287.44900033887,7821.068855556868,6195.720144752714,7863.0873340143,7347.89348512173,7589.4643837008425,7962.517025440314,7299.01746603826
EP1H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,664.9983424106085,1337.289207419899,2031.2109464082098,2736.8153409090905,3398.856859831599,5996.519345465667,6932.723986390701,8035.767401700319,7530.702671646079,7492.691638172211,7861.223175965665,8357.689089881287,9718.031345957012,10972.477801268498,12169.835874844686,12137.75363174678,12038.216224366706,13676.958631256382,15385.973512173126,17308.841682755818,17062.081800391392,17986.978652619906
EP20,1657.9658703071673,1978.6783216783217,2243.8495297805644,2121.649122807017,2235.0826873385013,2623.962962962963,3046.3977485928704,3255.083798882681,3606.204778156997,4439.116564417178,5040.217851739789,5127.824817518248,5126.897959183672,6272.241596638656,7064.8341232227485,7268.253012048192,8354.63963963964,10955.656836461127,13439.282164549972,16220.276059019516,19762.37362132353,22056.0395713108,23624.958670643377,24285.273023634883,28092.78453038674,30665.585454545453,32409.985040650405,32307.316869788323,35803.35760422783,35903.618186798136,37932.559923034634,36585.51887323944,39047.58936170212,41278.24532322993,48200.99747048904,54304.92132269099,60786.697265625,68428.94898464585,73919.4167303869,83747.57726112845,103955.73233262487,90503.66446423442,67494.68868511036,65968.4635193133,68021.59072922554,69500.84007164791,77259.22832980973,85062.1905568734,79274.20810204322,66260.8154402895,78765.80439223697,82594.18462578898,83739.24987298038,88310.97377690804,90334.53285278626
EP34,163.65870307167236,181.4895104895105,190.1316614420063,226.36842105263156,262.8630490956072,303.37908496732024,341.47279549718576,489.18994413407813,533.4112627986348,664.6134969325153,759.8668683812407,912.0423357664233,922.0816326530611,1128.7247899159663,1318.5592417061612,1468.3734939759036,1796.0704340704342,1841.628686327078,2239.6140254003312,2455.630652070443,2892.5321691176473,3450.0840890354493,4249.364294844482,4685.346373268134,4798.041436464088,5021.8036363636365,5399.451056910569,6413.383579217447,7010.167058132705,7347.476033963297,8679.818306761958,9513.978591549296,10883.002127659573,12374.567369168837,11911.638279932547,12138.45496009122,12948.29971590909,13529.53822024104,15072.83743691696,16464.264956053303,17635.52058979809,19042.879632289572,19564.51911718993,21677.55364806867,22017.447427925377,25078.997952917092,27278.955602537,28770.3866485937,31346.88201251919,30387.317551266584,32290.34218590398,34280.32878719567,33718.68895437456,35950.28297455969,35237.821181036874
EP35,47.918088737201366,55.33216783216783,62.88401253918496,82.11403508771929,94.09302325581395,91.24183006535948,122.0093808630394,143.7430167597765,126.89078498293516,165.3696319018405,202.16641452344936,234.76788321167885,348.204081632653,392.49894957983196,568.8056872037915,729.0963855421686,812.2457002457003,1061.588471849866,1290.394809497515,1378.5435506901476,1346.7486213235295,1674.3413025556472,2511.6207925010654,2828.329258353708,3543.3977900552486,3614.0072727272727,3825.925203252032,3794.51667735728,4063.9480328831464,4572.933442892358,5091.410390324354,5416.320000000001,5935.260638297872,6338.689557186834,6231.343170320405,6511.5210946408215,7478.107244318181,9087.578008915303,10661.233827802416,10873.796427558833,12049.013947927737,12866.989945417983,15732.717594031708,17214.43347639485,20126.712549462973,24113.864764585465,24232.566596194505,29197.66565006213,26682.294791543638,22438.616706875753,24392.535750766085,25315.882777276824,29626.024895843915,31095.749510763213,31028.817022456336
EP36,357.54266211604096,350.437062937063,325.5172413793104,346.9502923976608,366.66408268733846,427.31590413943354,488.0375234521576,555.6517690875232,571.7918088737201,622.2914110429448,686.2813918305599,671.0963503649635,873.2244897959182,990.1502100840337,1354.7488151658767,1408.855421686747,1625.2784602784602,2782.781501340483,3248.7586968525675,3523.1223227034748,4014.958639705883,4535.485572959605,5004.406476352791,5189.934800325998,6415.28453038674,6874.821818181818,7165.518048780487,7278.65522771007,7529.317381092189,9645.465625855928,10830.681143485432,11225.807323943662,12048.071808510636,12314.344304996446,13092.698145025297,14590.979475484606,15391.148082386362,14187.574706950632,14452.800734057195,14514.515877516304,15488.93955897981,15987.29100833094,15903.629002175941,15088.412017167382,16444.58648954211,17387.66594165814,18457.154334038056,20859.712752739186,21061.966458013463,17215.22889022919,19899.568437180795,21824.256988277724,25307.012600345493,25945.217612524466,29029.02051566399
