asset_type,major_cat,minor_cat,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Lodging,Structures,Other structures,0.6,0.7,0.7,0.9,1.4,1.4,1.4,1.2,1.2,1.3,1.3,1.4,2,2.3,1.7,1.1,0.9,1,1.3,2.5,3.5,4.4,4.5,5.7,7.4,8.1,8.3,8.5,7.9,8.9,10.8,7.5,4.6,5.7,5.8,8.8,13.5,16,18.3,19.8,20.2,18,13,12.3,14.8,15.7,21.8,34,43.8,31.4,13.9,10.4,12.6,16.1,20.2
Amusement and recreation,Structures,Other structures,0.9,0.8,0.9,1,1,1.3,1.4,1.4,0.8,1,1.1,1.1,1.2,1.3,1.3,1.3,1.5,1.7,2.1,2.5,2.9,3.1,3.7,4.2,5.4,6.7,6.3,6.9,7.5,6.8,7.3,6.9,6.9,7.6,8,8.5,9.3,10.2,10.3,11.5,10.5,9.4,9,9.3,10.1,9,11.2,12.2,12.6,10.1,7.8,8.1,7.5,8.3,9.3
Transportion,Structures,,0.7,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1,1.1,1,1.1,1.2,1.3,1.6,1.5,2,2.4,2.9,3.1,3.2,3.4,3.3,3.4,4.1,4.7,3.5,3.1,3.2,3.3,3.3,3.1,3.5,3.8,4.1,4.3,5.3,6.1,7.1,6.3,6.7,7,6.7,6.4,6.8,7.1,8.6,8.9,9.8,8.9,9.8,9.4,10.8,10.9,12
Air,Structures,Other structures,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.6,0.7,0.6,0.7,0.6,0.6,0.7,0.7,0.8,1,1,1.2,1.3,2,2.2,1.4,1.1,1,0.9,0.9,1,0.9,0.6,0.4,0.6,1.1,1,1.1
Land 3,Structures,Other structures,0.6,0.5,0.5,0.6,0.6,0.7,0.8,0.7,0.9,1,0.9,1,1.1,1.2,1.4,1.4,1.9,2.2,2.7,2.9,3,3.1,3,3,3.6,4.1,2.9,2.5,2.5,2.7,2.6,2.4,2.9,3.1,3.4,3.5,4.4,5.1,5.9,5,4.8,4.8,5.2,5.3,5.7,6.2,7.7,7.9,8.9,8.3,9.4,8.8,9.7,9.9,10.9
Farm,Structures,Other structures,1.2,1.2,1.3,1.3,1.3,1.4,1.5,1.7,1.6,1.7,1.9,1.9,1.8,2.5,3.2,3.7,4,4.4,5.2,5.8,5.2,4.7,3.8,3.3,3.3,2.3,2.1,2.6,2.4,2.5,2.8,2.8,2.4,3.4,3.2,3,3.7,3.8,4.3,5.1,6,5.1,5.6,5.1,5.5,5.9,5.8,6.3,8.4,6.9,6.4,5.9,7.7,9.5,11
Other 4,Structures,Other structures,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.7,0.8,1,1.1,1.4,1.5,1.7,1.9,2.2,2.8,4,3.4,3.9,3.3,3.6,4.3,4.3,5,4.7,4.3,5,4.3,3.8,3.9,3.5,4.3,3.3,2.4,2.7,3.3,3.1,4,4.4,4,2.5,2.5,2.1,1.6,1.5,1.6
Residential structures,Residential,,26.3,26.5,29.1,32.3,34.5,34.5,32.7,32.9,39.3,43.4,42.3,56.9,70.9,76.6,67.6,64.8,84.6,112.8,135.3,144.7,126.1,124.9,107.2,156.9,185.6,195,229.3,244,250.1,249.9,233.7,215.4,248.8,280.7,317.6,317.7,351.7,369.3,412.1,454.5,477.7,505.2,549.6,628.8,740.8,846.6,828.1,680.6,506.4,381.2,367.4,369.1,421.5,499,548.8
Housing units,Residential,,17.7,17.6,20.2,22.9,24.7,24.5,22.3,22,27.7,30.8,28.5,40.7,52.9,57.9,45.9,38.5,53.6,75.9,89.6,93.9,73.6,73.6,61,100.5,120,120.7,138.2,145.7,146.6,147.1,135.5,117.5,139.1,156.2,184.9,181.8,202.6,209.5,235.6,262.2,274.7,286.5,305,350.7,424.4,492.1,477.4,360.1,233.9,135.4,128.1,126.4,158.4,207.6,240.8
Permanent site,Residential,Housing units,17.2,17,19.6,22.2,23.8,23.4,21.2,20.8,26,28.5,26.2,37.6,49,53.5,42.5,36,50.4,71.7,84.9,88.7,69,68.7,56.2,94.3,113.7,114.6,132.9,140.4,141.4,142,130.6,113.1,133.6,148.9,175.4,170.2,189.4,195.7,220.9,247.9,263.7,277.6,295.5,342.1,414.6,479.4,466.2,350.2,225.5,130.5,123.2,121.6,153.1,201.7,234.3
1 to 4 unit,Residential,,14.9,14.1,15.3,16.6,17.7,18.2,16.7,16.8,19.8,20.3,18.1,26.5,34,36.8,30.7,31.2,45.5,64.5,75.3,75.9,56.2,55.5,43.9,76.7,91.4,91.3,107.6,120,123.4,124,115.2,101.7,124.2,141.3,164.8,156.4,173.7,177.9,201.3,225.9,240.9,253.2,269.5,315.1,383.4,440.4,422.2,308.3,186.5,106.7,111,108.4,132.8,173,196.2
5-or more-unit,Residential,,2.3,2.9,4.4,5.7,6.1,5.2,4.5,4,6.2,8.2,8.1,11.1,15,16.8,11.8,4.8,4.9,7.2,9.7,12.9,12.8,13.2,12.3,17.6,22.2,23.3,25.3,20.4,18,18,15.4,11.3,9.3,7.6,10.6,13.8,15.7,17.7,19.6,22,22.7,24.3,26,27,31.2,38.9,44,41.8,39,23.8,12.2,13.2,20.3,28.7,38.1
Manufactured homes,Residential,Housing units,0.5,0.5,0.6,0.6,0.9,1,1.1,1.2,1.7,2.3,2.3,3.2,3.9,4.4,3.3,2.5,3.2,4.2,4.7,5.1,4.6,4.9,4.8,6.3,6.3,6.1,5.3,5.3,5.2,5.1,4.9,4.4,5.5,7.3,9.6,11.6,13.2,13.9,14.7,14.3,11,9,9.5,8.6,9.8,12.7,11.2,9.9,8.3,4.9,4.9,4.8,5.3,6,6.5
Brokers' commissions and other ownership transfer costs 5,Residential,,1.8,1.9,2.2,2.4,2.6,2.8,2.8,3.1,3.6,4,4.6,5.9,7,7.7,8.4,9.8,11.9,15.1,19,20.5,18.3,16.5,14.3,21.7,25.2,30.1,36.8,39.6,42.1,41.2,39.6,40.8,45.5,50,53.5,54.2,61.5,68.1,81.8,89.8,92.7,101.2,117.1,138.2,162.5,185.2,170.2,140,105.3,92,89.8,89.1,103.8,124.6,126.1
Improvements,Residential,Housing units,6.5,6.7,6.2,6.5,6.6,6.6,7,7.4,7.6,8.2,9,10.1,10.9,10.8,13.2,16.4,19,21.8,26.6,30.2,34.1,34.6,31.6,34.3,40,43.8,54,58.1,60.8,61,57.9,56.9,63.8,74,78.9,81.3,87,91,93.8,101.2,109,115.9,125.9,138.2,152.3,167.7,178.4,177.6,163.4,151.2,147.9,151.4,156.3,162.8,178.3
Other residential 6,Residential,,0.2,0.3,0.5,0.4,0.6,0.6,0.6,0.5,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,0.6,0.6,0.7,0.8,0.3,0.3,0.5,0.3,0.5,0.6,0.8,1,1.3,1.4,1.6,1.5,1.8,1.7,1.5,2.1,2.9,3.8,2.5,1.7,2.2,2.9,3.9,3.6
Intellectual property products,Intellectual property,,7.1,8,8.4,9.2,9.8,11.1,12.8,14,15.5,17.1,17.9,18.6,20.5,22.6,25.4,27.7,32.1,35.7,40.2,47.9,54.1,64.5,72.4,81,94.7,105,113.1,120.1,132.7,150.1,164.4,179.1,187.7,196.9,205.7,226.8,253.3,288,318.1,365.1,411.3,415,406.2,418.7,437.8,473.1,506.3,544.8,574.3,564.4,578.2,622.3,655.7,692.7,727.1
Nonresidential intellectual property products,Intellectual property,,7.1,8,8.4,9.2,9.8,11.1,12.8,14,15.5,17.1,17.9,18.6,20.5,22.6,25.4,27.7,32.1,35.7,40.2,47.9,54.1,64.5,72.4,81,94.7,105,113.1,120.1,132.7,150.1,164.4,179.1,187.7,196.9,205.7,226.8,253.3,288,318.1,365.1,411.3,415,406.2,418.7,437.8,473.1,506.3,544.8,574.3,564.4,578.2,622.3,655.7,692.7,727.1
Software,Intellectual property,,0.1,0.2,0.2,0.4,0.5,0.7,1,1.2,1.3,1.8,2.3,2.4,2.8,3.2,3.9,4.8,5.2,5.5,6.3,8.1,9.8,11.8,14,16.4,20.4,23.8,25.6,29,33.3,40.6,45.4,48.7,51.1,57.2,60.4,65.5,74.5,93.8,109.2,136.6,156.8,157.7,152.5,155,166.3,178.6,189.5,206.4,223.8,226,226.4,249.8,272.1,283.7,297.5
Prepackaged 7,Intellectual property,Software,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.7,0.9,1.2,1.6,1.9,2.6,4,4.9,5.3,5.9,7.6,10.5,13.3,14.3,16.6,18.5,19.9,22.2,26.4,34.9,43.3,50.7,56.5,58.3,63.5,65.1,70.8,75.1,77,80.4,86.9,88.7,80.3,91.7,102.7,109.7,116.1
Custom,Intellectual property,Software,0,0,0,0,0,0,0.1,0.1,0.2,0.4,0.7,0.8,0.9,1.2,1.5,1.8,1.9,2.1,2.4,2.9,3.6,4.6,4.9,5.7,6.7,7.7,8.6,9.5,11.4,13,14.2,15.7,16.8,18.6,21.4,24.7,30.7,37.8,45.2,53.6,63.9,63.4,56.5,56.2,58.7,65.8,73.3,82.4,91.1,90.9,100.4,110.4,119.1,121.3,126.6
Own account,Intellectual property,Software,0.1,0.1,0.2,0.4,0.5,0.6,0.9,1,1,1.3,1.4,1.4,1.6,1.7,2,2.5,2.8,2.9,3.3,4.3,5,5.6,7.2,8,9.7,11.2,11.7,13.6,14.3,17.2,17.9,18.8,17.6,20.2,19.2,18.6,17.4,21.1,20.7,32.3,36.4,35.9,32.5,33.7,36.7,37.7,39.3,43.6,45.8,46.5,45.8,47.7,50.3,52.7,54.8
"Research and development 8,9",Intellectual property,,4.8,5.1,5.6,6,6.4,7.2,8,8.9,9.9,10.9,11.4,11.8,12.8,14.5,16.3,17.4,19.5,21.6,24.8,28.9,34,39.4,44.5,49.3,56.6,62.7,66.1,69.2,76.4,84.1,91.5,101,105.4,106.3,109.2,121.2,134.5,148.1,160.6,177.5,199,202.7,196.1,201,207.4,224.7,245.6,268,284.2,274.6,282.4,303.4,313.4,337.9,357.6
Business,Intellectual property,,4.6,4.9,5.3,5.6,6.1,6.7,7.6,8.4,9.3,10.3,10.8,11.2,12.1,13.7,15.4,16.3,18.2,20.2,23.1,26.9,31.8,36.9,41.7,46.4,53.4,59.2,62.1,64.7,71.1,78.5,85.6,94.7,98.8,99.5,102.3,114,126.7,139.9,151.5,168,189.2,192.7,185.4,189.3,195.4,212.3,232.7,254.5,268.6,257.3,263.7,283.6,291.9,315.2,335.1
Manufacturing,Intellectual property,,4.6,4.8,5.2,5.6,6,6.7,7.5,8.3,9.2,10.2,10.6,10.9,11.8,13.5,15.1,15.9,17.6,19.3,21.7,25,29.2,33.4,37.3,40.9,46.5,50.9,52.6,54.6,57.7,61.9,64.6,68.2,70.9,69.4,74.3,85,96.2,105.2,112.7,119.3,132.5,138.1,129.2,132.3,140.4,151.5,165.6,182,188,180.2,184.2,191.6,200.6,215.3,227.7
Pharmaceutical and medicine manufacturing,Intellectual property,Research and development,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,1,1.1,1.2,1.4,1.6,1.9,2.2,2.6,3.1,3.5,3.7,3.9,5.1,6,6.8,7.7,9,10.1,11.3,12.2,14.5,16.5,18.7,21.9,24.5,28.3,29.6,32.3,33.3,37,40.1,44.8,55.6,58,52.6,57.3,53.7,56.2,60.2,63.6
"Chemical manufacturing, excluding pharmaceutical and medicine",Intellectual property,Research and development,0.7,0.8,0.9,0.9,1,1.1,1.1,1.2,1.3,1.3,1.4,1.4,1.5,1.7,1.9,2,2.2,2.3,2.5,2.8,3.2,3.6,3.8,4.1,4.4,4.6,4.6,4.7,5.2,5.5,6.2,6.5,6.4,6.6,6.2,6.3,7,6.5,8,8.1,8.3,8.1,6.8,7.5,7.6,8.1,8.4,9.1,11.3,9.9,10.4,10.7,10.1,10.5,11.4
Semiconductor and other electronic component manufacturing,Intellectual property,Research and development,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.8,1.2,1.3,1.4,1.9,2.5,3,3.5,4.5,4.7,4.7,4.9,5.1,5.5,5.5,6.2,7.4,8.9,10.9,11.9,12.7,14.2,16.5,14.9,15.5,17.6,18.8,18.8,19.1,22.7,21.4,23.4,26.2,29.6,33.1,34.4
Other computer and electronic product manufacturing,Intellectual property,Research and development,0.7,0.8,0.9,1,1.1,1.2,1.4,1.5,1.7,2,2.2,2.4,2.5,2.9,3.2,3.3,3.6,3.9,4.3,4.9,5.6,6.2,6.8,7.3,8.1,8.6,8.7,8.9,9.2,9.3,9.7,9.9,10.6,10.7,12,14.1,17,20.7,22.7,23.2,30.4,35.1,25,23,23.2,24.2,29.7,31.4,34.4,31.4,31.8,33.7,33.1,32.6,37.9
"Motor vehicles, bodies and trailers, and parts manufacturing",Intellectual property,Research and development,0.7,0.8,0.8,0.9,0.9,1,1.1,1.1,1.2,1.4,1.4,1.6,1.9,2.3,2.4,2.3,2.7,3.2,3.8,4.2,4.7,4.7,4.8,5.3,5.9,6.7,7.8,7.8,8.4,9.3,9.1,9.6,9.9,11.3,12.6,14.3,15.5,15,14.9,16.4,16.4,15.7,15.6,16.3,16.6,17,17.4,16.9,13.8,12.1,12,13.9,16.4,17.6,19.2
Aerospace products and parts manufacturing,Intellectual property,Research and development,0.4,0.4,0.5,0.5,0.5,0.7,0.8,1.2,1.3,1.4,1.3,1.1,1,1.2,1.3,1.4,1.6,1.8,2.1,2.6,3.2,3.8,4.4,5.1,6,6.9,7.4,7.6,7.5,7.2,6.9,6.8,7.4,6.9,6.5,6.5,7,7.2,7.2,7.5,7.1,7.5,8.4,8.4,10.1,11.8,12.6,14.1,13.9,14.6,11,9.3,8.8,12,12.1
Other manufacturing,Intellectual property,Research and development,1.8,1.8,1.9,2,2.2,2.3,2.6,2.8,3.1,3.4,3.6,3.7,4,4.4,5.1,5.6,6,6.5,7.1,8.1,9.4,11.7,13.5,14.3,16,17.3,16.7,15.9,16.8,18.9,20.1,21.1,20.9,17.2,18.6,21.9,24.3,26.3,26.1,27,27.8,25.5,26.1,28.2,28.3,31.6,33.8,35.8,33.9,38.3,38.3,44.2,46.2,49.3,49.1
Nonmanufacturing,Intellectual property,,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.9,1.3,1.9,2.6,3.4,4.4,5.4,6.9,8.4,9.5,10.2,13.3,16.6,21.1,26.6,27.9,30.1,28,29,30.6,34.7,38.7,48.7,56.7,54.6,56.2,57.1,55,60.8,67.1,72.5,80.6,77,79.5,91.9,91.3,99.9,107.4
Scientific research and development services,Intellectual property,Research and development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.8,1.4,2.1,2.3,2.2,2.4,2.6,3.4,4.2,5.2,6.1,7.7,8.4,4.9,4.5,5.5,6,6.4,7.5,9.6,9.6,8.4,9.2,9.1,7.5,7.1
All other nonmanufacturing,Intellectual property,Research and development,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.9,1.3,1.9,2.6,3.4,4.4,5.4,6.9,8.4,9.5,9.7,12.8,15.8,19.7,24.5,25.7,27.8,25.6,26.4,27.2,30.5,33.5,42.6,49,46.2,51.3,52.6,49.5,54.8,60.7,65,71,67.4,71.1,82.8,82.2,92.4,100.4
Nonprofit institutions serving households (NPISHs),Intellectual property,,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1.1,1.2,1.4,1.7,2,2.2,2.5,2.8,2.9,3.1,3.4,4,4.5,5.3,5.6,5.8,6.3,6.6,6.8,6.9,7.2,7.8,8.2,9.1,9.5,9.8,10,10.7,11.7,12,12.4,12.9,13.5,15.6,17.3,18.8,19.8,21.6,22.7,22.5
Universities and colleges 10,Intellectual property,,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,1,1.1,1.3,1.4,1.5,1.7,1.9,2.1,2.2,2.5,2.7,3,3.3,4,4.3
Other nonprofit institutions,Intellectual property,,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.8,1,1.1,1.3,1.5,1.8,2,2.3,2.5,2.7,2.8,3.1,3.6,4.1,4.8,5.1,5.2,5.6,5.9,6.1,6.2,6.5,6.9,7.3,8.2,8.5,8.8,8.9,9.5,10.3,10.5,10.7,11,11.4,13.4,14.9,16.1,16.9,18.3,18.7,18.1
"Entertainment, literary, and artistic originals",Intellectual property,,2.1,2.7,2.6,2.8,2.8,3.2,3.7,3.8,4.3,4.4,4.1,4.4,4.9,4.9,5.2,5.5,7.4,8.6,9.1,10.9,10.3,13.2,13.9,15.3,17.8,18.6,21.4,21.9,23,25.4,27.5,29.4,31.2,33.4,36.1,40.2,44.3,46.1,48.3,51,55.6,54.7,57.6,62.7,64.1,69.8,71.2,70.4,66.3,63.8,69.4,69.1,70.2,71.1,72
Theatrical movies,Intellectual property,Artistic,0.5,0.8,0.7,0.8,0.8,1,0.9,1,1.4,1.1,0.8,0.9,1,0.8,0.8,0.8,1.7,1.6,1.4,2.3,2,2.9,3,3.4,4,3.8,4.8,4.9,5.1,6.2,6.1,7.3,6.7,8.3,8.6,10.5,13.1,12.6,13.5,12.8,16.1,15.4,15.9,17.7,18,18.9,20.1,20,17.3,15.3,18.1,17.2,15.6,15.8,13.9
Long-lived television programs,Intellectual property,Artistic,0.8,0.9,0.9,1,1,1.2,1.5,1.4,1.4,1.5,1.5,1.5,1.8,1.8,2.1,2.1,2.9,3.4,3.8,4.5,4,5.5,6,7,8,8.8,9.8,9.3,9.8,10.4,11.6,11.6,13.2,12.8,13.8,15.6,17.5,18.2,19.1,20.4,21.1,21.1,23.5,25.9,26.1,30.5,31.1,30.4,28.9,29.2,31.8,33.6,36.6,37.8,40.4
Books,Intellectual property,Artistic,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1,1.1,1.2,1.4,1.6,1.6,1.8,2,2.2,2.3,2.6,2.8,3,3.3,3.6,4,4.2,4.4,4.7,5,5.3,5.5,5.5,6.1,6.5,6.9,7.2,7.3,7.6,7.8,8.2,8.7,8.6,9.1,9.1,8.6,9.8,9.5,9.2,9.1,9.1
Music,Intellectual property,Artistic,0.3,0.4,0.4,0.4,0.3,0.3,0.5,0.6,0.6,0.8,0.8,0.8,0.9,1,1,1.1,1.2,1.6,1.7,1.8,1.8,2,1.7,1.6,2.1,2,2.4,3,3,3.3,3.9,4.2,4.6,5,6.1,6.1,5.7,6.5,6.5,8.1,8.2,7.9,7.7,8.2,8.7,8.4,8.1,7.8,7.7,7.4,7,6,5.7,5.4,5.5
Other,Intellectual property,Artistic,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.5,1.7,1.8,1.9,2.2,2.3,2.5,2.6,2.7,2.7,2.8,3,3,3,3.1,3.2,3.3,3.3,3.2,3.4,3.2,2.7,2.9,3,3,3
